Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR11072930,RNA-Seq,300,6375512100,PRJNA606248,SAMN14088096,2053600774,H9,embryonic stem cell,GEO,AIC (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712679,GSM4307787,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,11,ILLUMINA,2020-04-23T00:00:00Z,GSM4307787,blastocyst,SRP248420
SRR11072931,RNA-Seq,300,6684668100,PRJNA606248,SAMN14088081,2120638809,H9,embryonic stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712680,GSM4307788,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+10,ILLUMINA,2020-04-23T00:00:00Z,GSM4307788,blastocyst,SRP248420
SRR11072932,RNA-Seq,300,6155349900,PRJNA606248,SAMN14088113,1905418673,H9,embryonic stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712681,GSM4307789,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+15,ILLUMINA,2020-04-23T00:00:00Z,GSM4307789,blastocyst,SRP248420
SRR11072933,RNA-Seq,300,6258248400,PRJNA606248,SAMN14088112,1935587086,H9,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712682,GSM4307790,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+6+13,ILLUMINA,2020-04-23T00:00:00Z,GSM4307790,blastocyst,SRP248420
SRR11072934,RNA-Seq,300,6004128900,PRJNA606248,SAMN14088111,1918001912,H9,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712683,GSM4307791,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+9+5,ILLUMINA,2020-04-23T00:00:00Z,GSM4307791,blastocyst,SRP248420
SRR11072935,RNA-Seq,300,7117524900,PRJNA606248,SAMN14088095,2280052311,S4,induced pluripotent stem cell,GEO,AIC (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712684,GSM4307792,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8,ILLUMINA,2020-04-23T00:00:00Z,GSM4307792,fibroblasts,SRP248420
SRR11072936,RNA-Seq,300,7014710400,PRJNA606248,SAMN14088094,2221551742,S4,induced pluripotent stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712685,GSM4307793,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7+19,ILLUMINA,2020-04-23T00:00:00Z,GSM4307793,fibroblasts,SRP248420
SRR11072937,RNA-Seq,300,6914168100,PRJNA606248,SAMN14088093,2218398667,S4,induced pluripotent stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712686,GSM4307794,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,4+15,ILLUMINA,2020-04-23T00:00:00Z,GSM4307794,fibroblasts,SRP248420
SRR11072938,RNA-Seq,300,6997060200,PRJNA606248,SAMN14088110,2234630480,hES1,embryonic stem cell,GEO,bFGF/KSR (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712687,GSM4307795,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,15,ILLUMINA,2020-04-23T00:00:00Z,GSM4307795,blastocyst,SRP248420
SRR11072939,RNA-Seq,300,6771092100,PRJNA606248,SAMN14088109,2174578146,H9,embryonic stem cell,GEO,bFGF/KSR (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712688,GSM4307796,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,76,ILLUMINA,2020-04-23T00:00:00Z,GSM4307796,blastocyst,SRP248420
SRR11072940,RNA-Seq,300,6523612500,PRJNA606248,SAMN14088108,2084550073,S4,induced pluripotent stem cell,GEO,bFGF/KSR (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712689,GSM4307797,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30,ILLUMINA,2020-04-23T00:00:00Z,GSM4307797,fibroblasts,SRP248420
