Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7774119,RNA-Seq,200,3226786600,PRJNA488795,SAMN09941274,1641334519,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629441,GSM3370009,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370009,HES9 HHH fraction,SRP159258
SRR7774120,RNA-Seq,200,2772976000,PRJNA488795,SAMN09941273,1424225121,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629442,GSM3370010,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370010,HES9 HHH fraction,SRP159258
SRR7774121,RNA-Seq,200,2825072200,PRJNA488795,SAMN09941273,1473138011,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629442,GSM3370010,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370010,HES9 HHH fraction,SRP159258
SRR7774122,RNA-Seq,200,2739910400,PRJNA488795,SAMN09941273,1408927025,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629442,GSM3370010,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370010,HES9 HHH fraction,SRP159258
SRR7774123,RNA-Seq,200,2782607000,PRJNA488795,SAMN09941273,1441773294,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629442,GSM3370010,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370010,HES9 HHH fraction,SRP159258
SRR7774124,RNA-Seq,200,6374947800,PRJNA488795,SAMN09941272,2994135964,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629443,GSM3370011,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370011,HES9 HHH fraction,SRP159258
SRR7774125,RNA-Seq,200,6325306000,PRJNA488795,SAMN09941272,2949916720,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629443,GSM3370011,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370011,HES9 HHH fraction,SRP159258
SRR7774126,RNA-Seq,200,6242150000,PRJNA488795,SAMN09941271,2916983238,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629444,GSM3370012,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370012,HES9 HHH fraction,SRP159258
SRR7774127,RNA-Seq,200,6187631400,PRJNA488795,SAMN09941271,2871793999,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629444,GSM3370012,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370012,HES9 HHH fraction,SRP159258
SRR7774128,RNA-Seq,200,6312867200,PRJNA488795,SAMN09941270,2953168426,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629445,GSM3370013,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370013,HES9 HHH fraction,SRP159258
SRR7774129,RNA-Seq,200,6258021600,PRJNA488795,SAMN09941270,2908724594,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629445,GSM3370013,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370013,HES9 HHH fraction,SRP159258
SRR7774130,RNA-Seq,200,6073460800,PRJNA488795,SAMN09941269,2809910755,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629446,GSM3370014,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370014,HES9 total population,SRP159258
SRR7774131,RNA-Seq,200,6008026600,PRJNA488795,SAMN09941269,2764168430,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629446,GSM3370014,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370014,HES9 total population,SRP159258
SRR7774132,RNA-Seq,200,6324940800,PRJNA488795,SAMN09941268,2935274683,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629447,GSM3370015,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370015,HES9 total population,SRP159258
SRR7774133,RNA-Seq,200,6273975800,PRJNA488795,SAMN09941268,2891709962,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629447,GSM3370015,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370015,HES9 total population,SRP159258
SRR7774134,RNA-Seq,200,6043809200,PRJNA488795,SAMN09941267,2795373774,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629448,GSM3370016,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370016,HES9 total population,SRP159258
SRR7774135,RNA-Seq,200,5989696200,PRJNA488795,SAMN09941267,2751275778,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629448,GSM3370016,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370016,HES9 total population,SRP159258
SRR7774114,RNA-Seq,200,3699060800,PRJNA488795,SAMN09941275,1858661880,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629440,GSM3370008,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370008,HES9 total population,SRP159258
