Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,AssemblyName
SRR6225363,RNA-Seq,202,14358836902,PRJNA415990,SAMN07839640,5201499202,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333971,GSM2832702,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832702,Induced pluripotent stem cells,SRP121791,week 1,
SRR6225364,RNA-Seq,202,10765666760,PRJNA415990,SAMN07839639,3968770388,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333972,GSM2832703,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832703,Induced pluripotent stem cells,SRP121791,week 2,
SRR6225365,RNA-Seq,202,18671158152,PRJNA415990,SAMN07839638,7297148212,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333973,GSM2832704,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832704,Induced pluripotent stem cells,SRP121791,week 2,
SRR6225366,RNA-Seq,202,11996161274,PRJNA415990,SAMN07839637,4516222587,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333974,GSM2832705,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832705,Induced pluripotent stem cells,SRP121791,week 3,
SRR6225367,RNA-Seq,202,18991112214,PRJNA415990,SAMN07839636,7432420130,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333975,GSM2832706,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832706,Induced pluripotent stem cells,SRP121791,week 3,
SRR6225368,RNA-Seq,202,14034809106,PRJNA415990,SAMN07839635,5387621726,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333976,GSM2832707,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832707,Induced pluripotent stem cells,SRP121791,week 4,
SRR6225369,RNA-Seq,202,26218413048,PRJNA415990,SAMN07839634,10352648146,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333977,GSM2832708,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832708,Induced pluripotent stem cells,SRP121791,week 4,
SRR6225370,RNA-Seq,202,11098137146,PRJNA415990,SAMN07839633,4113770225,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333978,GSM2832709,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832709,Induced pluripotent stem cells,SRP121791,week 5,
SRR6225371,RNA-Seq,202,26627086318,PRJNA415990,SAMN07839632,10460522502,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333979,GSM2832710,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832710,Induced pluripotent stem cells,SRP121791,week 5,
SRR6225372,RNA-Seq,202,21435948312,PRJNA415990,SAMN07839614,8334594681,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333980,GSM2832711,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832711,Induced pluripotent stem cells,SRP121791,week 0,
SRR6225373,RNA-Seq,202,11261397586,PRJNA415990,SAMN07839613,4529252188,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333981,GSM2832712,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832712,Induced pluripotent stem cells,SRP121791,week 0,
SRR6225374,RNA-Seq,202,11997723542,PRJNA415990,SAMN07839612,4516690622,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333982,GSM2832713,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832713,Induced pluripotent stem cells,SRP121791,week 1,
SRR6225375,RNA-Seq,202,18341683224,PRJNA415990,SAMN07839611,7252794570,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333983,GSM2832714,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832714,Induced pluripotent stem cells,SRP121791,week 1,
SRR6225376,RNA-Seq,202,21714857186,PRJNA415990,SAMN07839610,8301725566,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333984,GSM2832715,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832715,Induced pluripotent stem cells,SRP121791,week 2,
SRR6225377,RNA-Seq,202,23246933256,PRJNA415990,SAMN07839609,9945297823,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333985,GSM2832716,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832716,Induced pluripotent stem cells,SRP121791,week 2,
SRR6225378,RNA-Seq,202,16336153090,PRJNA415990,SAMN07839608,5964999680,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333986,GSM2832717,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832717,Induced pluripotent stem cells,SRP121791,week 3,
SRR6225379,RNA-Seq,202,14991431212,PRJNA415990,SAMN07839607,5857979296,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333987,GSM2832718,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832718,Induced pluripotent stem cells,SRP121791,week 3,
SRR6225380,RNA-Seq,202,25262715294,PRJNA415990,SAMN07839606,9159078156,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333988,GSM2832719,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832719,Induced pluripotent stem cells,SRP121791,week 4,
SRR6225381,RNA-Seq,202,23316293592,PRJNA415990,SAMN07839605,8926760838,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333989,GSM2832720,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832720,Induced pluripotent stem cells,SRP121791,week 4,
SRR6225382,RNA-Seq,202,17285720548,PRJNA415990,SAMN07839604,6454231122,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333990,GSM2832721,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832721,Induced pluripotent stem cells,SRP121791,week 5,
SRR6225383,RNA-Seq,202,22682360022,PRJNA415990,SAMN07839603,8493186916,Jos-3C1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333991,GSM2832722,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pongo abelii,ILLUMINA,2018-05-31T00:00:00Z,GSM2832722,Induced pluripotent stem cells,SRP121791,week 5,
SRR6225384,RNA-Seq,200,9369622000,PRJNA415990,SAMN07839602,6528298786,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333992,GSM2832723,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832723,embryonic stem cells,SRP121791,week 0,
SRR6225385,RNA-Seq,200,8904605400,PRJNA415990,SAMN07839601,6211445565,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333993,GSM2832724,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832724,embryonic stem cells,SRP121791,week 0,
SRR6225386,RNA-Seq,200,8795067800,PRJNA415990,SAMN07839665,6303056964,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333994,GSM2832725,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832725,embryonic stem cells,SRP121791,week 1,
SRR6225387,RNA-Seq,200,12604155400,PRJNA415990,SAMN07839664,9005730733,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333995,GSM2832726,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832726,embryonic stem cells,SRP121791,week 1,
SRR6225388,RNA-Seq,200,5701319200,PRJNA415990,SAMN07839663,4088991719,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333996,GSM2832727,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832727,embryonic stem cells,SRP121791,week 2,
SRR6225389,RNA-Seq,200,9395658000,PRJNA415990,SAMN07839662,6695165341,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333997,GSM2832728,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832728,embryonic stem cells,SRP121791,week 2,
SRR6225390,RNA-Seq,200,9784917400,PRJNA415990,SAMN07839661,6982931773,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333998,GSM2832729,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832729,embryonic stem cells,SRP121791,week 3,
SRR6225391,RNA-Seq,200,9765988000,PRJNA415990,SAMN07839660,6970560996,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333999,GSM2832730,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832730,embryonic stem cells,SRP121791,week 3,
SRR6225392,RNA-Seq,200,11421146600,PRJNA415990,SAMN07839659,8157195349,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334000,GSM2832731,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832731,embryonic stem cells,SRP121791,week 4,
SRR6225393,RNA-Seq,200,15790765800,PRJNA415990,SAMN07839658,11247282285,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334001,GSM2832732,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832732,embryonic stem cells,SRP121791,week 4,
SRR6225394,RNA-Seq,216,10790464464,PRJNA415990,SAMN07839657,7774698101,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334002,GSM2832733,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832733,embryonic stem cells,SRP121791,week 5,
SRR6225395,RNA-Seq,216,9372665736,PRJNA415990,SAMN07839656,6764992065,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334003,GSM2832734,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2832734,embryonic stem cells,SRP121791,week 5,
SRR6225396,RNA-Seq,200,12284364400,PRJNA415990,SAMN07839655,8592829375,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334004,GSM2832735,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832735,embryonic stem cells,SRP121791,week 0,
SRR6225397,RNA-Seq,200,11732507800,PRJNA415990,SAMN07839654,8204036743,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334005,GSM2832736,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832736,embryonic stem cells,SRP121791,week 0,
SRR6225398,RNA-Seq,200,11766897400,PRJNA415990,SAMN07839653,8240826741,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334006,GSM2832737,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832737,embryonic stem cells,SRP121791,week 1,
SRR6225399,RNA-Seq,200,10231508400,PRJNA415990,SAMN07839652,7157873452,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334007,GSM2832738,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832738,embryonic stem cells,SRP121791,week 1,
SRR6225400,RNA-Seq,200,10097880200,PRJNA415990,SAMN07839651,7091563932,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334008,GSM2832739,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832739,embryonic stem cells,SRP121791,week 2,
SRR6225401,RNA-Seq,200,12068353000,PRJNA415990,SAMN07839650,8428280896,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334009,GSM2832740,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832740,embryonic stem cells,SRP121791,week 2,
SRR6225402,RNA-Seq,200,3862994400,PRJNA415990,SAMN07839649,2708331350,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334010,GSM2832741,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832741,embryonic stem cells,SRP121791,week 3,
SRR6225403,RNA-Seq,200,12818384000,PRJNA415990,SAMN07839648,8883773294,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334011,GSM2832742,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832742,embryonic stem cells,SRP121791,week 3,
SRR6225404,RNA-Seq,200,8860053600,PRJNA415990,SAMN07839647,6161118298,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334012,GSM2832743,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832743,embryonic stem cells,SRP121791,week 4,
SRR6225405,RNA-Seq,200,10298991200,PRJNA415990,SAMN07839646,7146743193,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334013,GSM2832744,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832744,embryonic stem cells,SRP121791,week 4,
SRR6225406,RNA-Seq,200,3866583200,PRJNA415990,SAMN07839645,2671972616,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334014,GSM2832745,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832745,embryonic stem cells,SRP121791,week 5,
SRR6225407,RNA-Seq,200,4397554200,PRJNA415990,SAMN07839644,3046056969,LYON-1 ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3334015,GSM2832746,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2018-05-31T00:00:00Z,GSM2832746,embryonic stem cells,SRP121791,week 5,
