Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_day,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,retinoic_acid,Sample Name,source_name,SRA Study,stem_cells_type
SRR8822687,RNA-Seq,252,4899126456,PRJNA530144,SAMN11298841,1950039844,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611127,GSM3693309,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693309,retinal organoid,SRP189988,iPSC
SRR8822688,RNA-Seq,252,5533573500,PRJNA530144,SAMN11298840,2192482940,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611128,GSM3693310,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693310,retinal organoid,SRP189988,iPSC
SRR8822689,RNA-Seq,252,6086170440,PRJNA530144,SAMN11298839,2416892389,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D105,SRX5611129,GSM3693311,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693311,retinal organoid,SRP189988,iPSC
SRR8822690,RNA-Seq,252,5554225152,PRJNA530144,SAMN11298838,2224080593,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D105,SRX5611130,GSM3693312,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693312,retinal organoid,SRP189988,iPSC
SRR8822691,RNA-Seq,252,4675784148,PRJNA530144,SAMN11298794,1653804129,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611131,GSM3693313,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693313,retinal organoid,SRP189988,iPSC
SRR8822693,RNA-Seq,252,4922028468,PRJNA530144,SAMN11298826,1722933755,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D150,SRX5611133,GSM3693315,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693315,retinal organoid,SRP189988,iPSC
SRR8822694,RNA-Seq,252,5809077792,PRJNA530144,SAMN11298825,2069101345,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D150,SRX5611134,GSM3693316,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693316,retinal organoid,SRP189988,iPSC
SRR8822695,RNA-Seq,252,5073896520,PRJNA530144,SAMN11298824,1798323590,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611135,GSM3693317,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693317,retinal organoid,SRP189988,iPSC
SRR8822696,RNA-Seq,252,6185801664,PRJNA530144,SAMN11298823,2194624370,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611136,GSM3693318,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693318,retinal organoid,SRP189988,iPSC
SRR8822697,RNA-Seq,252,3714675804,PRJNA530144,SAMN11298822,1271484006,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611137,GSM3693319,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693319,retinal organoid,SRP189988,iPSC
SRR8822698,RNA-Seq,252,5406400692,PRJNA530144,SAMN11298821,1850614615,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611138,GSM3693320,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693320,retinal organoid,SRP189988,iPSC
SRR8822699,RNA-Seq,252,5107232340,PRJNA530144,SAMN11298820,1807973086,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611139,GSM3693321,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693321,retinal organoid,SRP189988,iPSC
SRR8822700,RNA-Seq,252,4587891336,PRJNA530144,SAMN11298819,1582328995,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611140,GSM3693322,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693322,retinal organoid,SRP189988,iPSC
SRR8822701,RNA-Seq,252,5568146388,PRJNA530144,SAMN11298818,1902127757,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611141,GSM3693323,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693323,retinal organoid,SRP189988,iPSC
SRR8822702,RNA-Seq,252,5134262868,PRJNA530144,SAMN11298817,1768021700,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611142,GSM3693324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693324,retinal organoid,SRP189988,iPSC
SRR8822703,RNA-Seq,252,3778830216,PRJNA530144,SAMN11298816,1311381298,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D25,SRX5611143,GSM3693325,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693325,retinal organoid,SRP189988,iPSC
SRR8822704,RNA-Seq,252,5374339992,PRJNA530144,SAMN11298815,1862197135,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D60,SRX5611144,GSM3693326,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693326,retinal organoid,SRP189988,iPSC
SRR8822705,RNA-Seq,252,4870148724,PRJNA530144,SAMN11298814,1681586780,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D60,SRX5611145,GSM3693327,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693327,retinal organoid,SRP189988,iPSC
SRR8822706,RNA-Seq,252,5536301904,PRJNA530144,SAMN11298813,1904421784,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D60,SRX5611146,GSM3693328,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693328,retinal organoid,SRP189988,iPSC
SRR8822707,RNA-Seq,252,4985264088,PRJNA530144,SAMN11298812,1738498643,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D88,SRX5611147,GSM3693329,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693329,retinal organoid,SRP189988,iPSC
SRR8822708,RNA-Seq,252,4790256660,PRJNA530144,SAMN11298811,1675137631,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D88,SRX5611148,GSM3693330,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693330,retinal organoid,SRP189988,iPSC
SRR8822709,RNA-Seq,252,4981899636,PRJNA530144,SAMN11298810,1742517757,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D88,SRX5611149,GSM3693331,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693331,retinal organoid,SRP189988,iPSC
SRR8822710,RNA-Seq,252,6003580212,PRJNA530144,SAMN11298809,2033988611,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D123,SRX5611150,GSM3693332,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693332,retinal organoid,SRP189988,iPSC
SRR8822711,RNA-Seq,252,5256782244,PRJNA530144,SAMN11298808,1802604129,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D123,SRX5611151,GSM3693333,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693333,retinal organoid,SRP189988,iPSC
SRR8822712,RNA-Seq,252,5569919460,PRJNA530144,SAMN11298807,1920275833,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D123,SRX5611152,GSM3693334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693334,retinal organoid,SRP189988,iPSC
SRR8822714,RNA-Seq,252,5218209864,PRJNA530144,SAMN11298805,1793230153,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D123,SRX5611154,GSM3693336,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693336,retinal organoid,SRP189988,iPSC
SRR8822715,RNA-Seq,252,5139301860,PRJNA530144,SAMN11298804,1769339145,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D172,SRX5611155,GSM3693337,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693337,retinal organoid,SRP189988,iPSC
SRR8822718,RNA-Seq,252,5276592720,PRJNA530144,SAMN11298801,1825725579,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D186,SRX5611158,GSM3693340,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693340,retinal organoid,SRP189988,iPSC
SRR8822719,RNA-Seq,252,4990982724,PRJNA530144,SAMN11298800,1736568468,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D186,SRX5611159,GSM3693341,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693341,retinal organoid,SRP189988,iPSC
SRR8822720,RNA-Seq,252,5185300932,PRJNA530144,SAMN11298799,1831830124,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D186,SRX5611160,GSM3693342,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693342,retinal organoid,SRP189988,iPSC
SRR8822721,RNA-Seq,252,5290628364,PRJNA530144,SAMN11298884,1883323843,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D38,SRX5611161,GSM3693343,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693343,retinal organoid,SRP189988,iPSC
SRR8822722,RNA-Seq,252,4441221792,PRJNA530144,SAMN11298883,1588605635,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D38,SRX5611162,GSM3693344,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693344,retinal organoid,SRP189988,iPSC
SRR8822723,RNA-Seq,252,5097080772,PRJNA530144,SAMN11298882,1799081929,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611163,GSM3693345,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693345,retinal organoid,SRP189988,iPSC
SRR8822725,RNA-Seq,252,5389409340,PRJNA530144,SAMN11298880,1938793967,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611165,GSM3693347,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693347,retinal organoid,SRP189988,iPSC
SRR8822726,RNA-Seq,252,5714002476,PRJNA530144,SAMN11298879,2024724944,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611166,GSM3693348,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693348,retinal organoid,SRP189988,iPSC
SRR8822727,RNA-Seq,252,4830894432,PRJNA530144,SAMN11298878,1709066617,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611167,GSM3693349,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693349,retinal organoid,SRP189988,iPSC
SRR8822728,RNA-Seq,252,6146479584,PRJNA530144,SAMN11298877,2191927508,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611168,GSM3693350,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693350,retinal organoid,SRP189988,iPSC
SRR8822729,RNA-Seq,252,5027363964,PRJNA530144,SAMN11298876,1790371671,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611169,GSM3693351,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693351,retinal organoid,SRP189988,iPSC
SRR8822731,RNA-Seq,252,5093269776,PRJNA530144,SAMN11298874,1831895044,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611171,GSM3693353,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693353,retinal organoid,SRP189988,iPSC
SRR8822732,RNA-Seq,252,4992015420,PRJNA530144,SAMN11298873,1768307859,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D145,SRX5611172,GSM3693354,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693354,retinal organoid,SRP189988,iPSC
SRR8822733,RNA-Seq,252,5876545248,PRJNA530144,SAMN11298872,2134522274,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D153,SRX5611173,GSM3693355,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693355,retinal organoid,SRP189988,iPSC
SRR8822734,RNA-Seq,252,4966640532,PRJNA530144,SAMN11298871,1765978550,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611174,GSM3693356,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693356,retinal organoid,SRP189988,iPSC
SRR8822735,RNA-Seq,252,5565482244,PRJNA530144,SAMN11298870,1966020788,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D202,SRX5611175,GSM3693357,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693357,retinal organoid,SRP189988,iPSC
SRR8822736,RNA-Seq,252,5177906496,PRJNA530144,SAMN11298869,1877324668,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D203,SRX5611176,GSM3693358,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693358,retinal organoid,SRP189988,iPSC
SRR8822737,RNA-Seq,252,4909641156,PRJNA530144,SAMN11298868,1742173493,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D38,SRX5611177,GSM3693359,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693359,retinal organoid,SRP189988,iPSC
SRR8822739,RNA-Seq,252,5076084636,PRJNA530144,SAMN11298866,1784711031,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D91,SRX5611179,GSM3693361,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693361,retinal organoid,SRP189988,iPSC
