Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR10039508,embryo invitro day 6,RNA-Seq,299,4791847810,PRJNA562548,SAMN12643756,1849027257,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774898,GSM4050133,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050133,embryo,SRP219759
SRR10039509,embryo invitro day 6,RNA-Seq,299,4807795042,PRJNA562548,SAMN12643755,1960752272,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774899,GSM4050134,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050134,embryo,SRP219759
SRR10039510,embryo invitro day 6,RNA-Seq,299,4872210911,PRJNA562548,SAMN12643754,1982540406,Hypoblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774900,GSM4050135,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050135,embryo,SRP219759
SRR10039511,embryo invitro day 6,RNA-Seq,299,4828790114,PRJNA562548,SAMN12643753,1843763749,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774901,GSM4050136,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050136,embryo,SRP219759
SRR10039512,embryo invitro day 6,RNA-Seq,299,5028896433,PRJNA562548,SAMN12643752,1905053919,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774902,GSM4050137,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050137,embryo,SRP219759
SRR10039513,embryo invitro day 6,RNA-Seq,299,4984491820,PRJNA562548,SAMN12643751,2031238889,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774919,GSM4050138,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050138,embryo,SRP219759
SRR10039514,embryo invitro day 6,RNA-Seq,299,4063580347,PRJNA562548,SAMN12643750,1622235449,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774920,GSM4050139,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050139,embryo,SRP219759
SRR10039515,embryo invitro day 6,RNA-Seq,299,4848460785,PRJNA562548,SAMN12643749,1971805056,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774921,GSM4050140,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050140,embryo,SRP219759
SRR10039516,embryo invitro day 6,RNA-Seq,299,4939408154,PRJNA562548,SAMN12643748,2004256701,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774922,GSM4050141,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050141,embryo,SRP219759
SRR10039517,embryo invitro day 6,RNA-Seq,299,4892582040,PRJNA562548,SAMN12643747,1996038577,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774923,GSM4050142,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050142,embryo,SRP219759
SRR10039518,embryo invitro day 6,RNA-Seq,299,4728141855,PRJNA562548,SAMN12643746,1923458424,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774924,GSM4050143,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050143,embryo,SRP219759
SRR10039519,embryo invitro day 6,RNA-Seq,299,4929634403,PRJNA562548,SAMN12643745,1981938793,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774925,GSM4050144,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050144,embryo,SRP219759
SRR10039521,embryo invitro day 6,RNA-Seq,299,4013840200,PRJNA562548,SAMN12643743,1643924691,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774943,GSM4050146,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050146,embryo,SRP219759
SRR10039522,embryo invitro day 6,RNA-Seq,299,4921883694,PRJNA562548,SAMN12643742,2005169770,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774944,GSM4050147,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050147,embryo,SRP219759
SRR10039523,embryo invitro day 6,RNA-Seq,299,4650969048,PRJNA562548,SAMN12643741,1903327695,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774945,GSM4050148,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050148,embryo,SRP219759
SRR10039524,embryo invitro day 6,RNA-Seq,299,4791331780,PRJNA562548,SAMN12643740,1956036639,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774946,GSM4050149,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050149,embryo,SRP219759
SRR10039525,embryo invitro day 6,RNA-Seq,299,4837344550,PRJNA562548,SAMN12643777,1977684111,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774947,GSM4050150,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050150,embryo,SRP219759
SRR10039526,embryo invitro day 6,RNA-Seq,299,4999086660,PRJNA562548,SAMN12643776,2023902068,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774948,GSM4050151,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050151,embryo,SRP219759
SRR10039527,embryo invitro day 6,RNA-Seq,299,4706825973,PRJNA562548,SAMN12643775,1964482899,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774949,GSM4050152,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050152,embryo,SRP219759
SRR10039528,embryo invitro day 6,RNA-Seq,299,4889401550,PRJNA562548,SAMN12643774,2035544863,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774950,GSM4050153,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050153,embryo,SRP219759
SRR10039529,embryo invitro day 6,RNA-Seq,299,5034792204,PRJNA562548,SAMN12643773,2082673026,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774962,GSM4050154,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050154,embryo,SRP219759
SRR10039530,embryo invitro day 6,RNA-Seq,299,4985708157,PRJNA562548,SAMN12643772,2087525337,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774963,GSM4050155,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050155,embryo,SRP219759
SRR10039531,embryo invitro day 6,RNA-Seq,299,4718129094,PRJNA562548,SAMN12643771,1975825142,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774964,GSM4050156,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050156,embryo,SRP219759
SRR10039532,embryo invitro day 6,RNA-Seq,299,4803293883,PRJNA562548,SAMN12643770,2012252110,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774965,GSM4050157,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050157,embryo,SRP219759
SRR10039533,embryo invitro day 6,RNA-Seq,299,4714190264,PRJNA562548,SAMN12643769,1964072836,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774966,GSM4050158,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050158,embryo,SRP219759
SRR10039534,embryo invitro day 6,RNA-Seq,299,4783184993,PRJNA562548,SAMN12643768,1995875586,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774967,GSM4050159,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050159,embryo,SRP219759
SRR10039535,embryo invitro day 6,RNA-Seq,299,4900357727,PRJNA562548,SAMN12643767,2042876696,Hypoblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774968,GSM4050160,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050160,embryo,SRP219759
SRR10039536,embryo invitro day 6,RNA-Seq,299,4842130593,PRJNA562548,SAMN12643766,1964925493,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774969,GSM4050161,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050161,embryo,SRP219759
SRR10039537,embryo invitro day 6,RNA-Seq,299,4800163630,PRJNA562548,SAMN12643765,2009772068,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774978,GSM4050162,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050162,embryo,SRP219759
SRR10039538,embryo invitro day 6,RNA-Seq,299,4862163362,PRJNA562548,SAMN12643764,2006260164,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774979,GSM4050163,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050163,embryo,SRP219759
SRR10039539,embryo invitro day 6,RNA-Seq,299,4083215755,PRJNA562548,SAMN12643763,1716708732,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774980,GSM4050164,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050164,embryo,SRP219759
SRR10039541,embryo invitro day 6,RNA-Seq,299,4922333301,PRJNA562548,SAMN12643761,2028013564,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774982,GSM4050166,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050166,embryo,SRP219759
SRR10039542,embryo invitro day 6,RNA-Seq,299,4719670282,PRJNA562548,SAMN12643738,1980584119,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774983,GSM4050167,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050167,embryo,SRP219759
SRR10039543,embryo invitro day 6,RNA-Seq,298,4016174522,PRJNA562548,SAMN12643737,1696120707,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774984,GSM4050168,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050168,embryo,SRP219759
SRR10039544,embryo invitro day 6,RNA-Seq,299,4863021788,PRJNA562548,SAMN12643736,2043841620,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774985,GSM4050169,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050169,embryo,SRP219759
SRR10039545,embryo invitro day 6,RNA-Seq,299,4709072896,PRJNA562548,SAMN12643735,1973709523,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774447,GSM4050170,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050170,embryo,SRP219759
SRR10039546,embryo invitro day 6,RNA-Seq,299,4782317519,PRJNA562548,SAMN12643734,2008765982,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774448,GSM4050171,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050171,embryo,SRP219759
SRR10039547,embryo invitro day 6,RNA-Seq,299,4790797342,PRJNA562548,SAMN12643733,2025177293,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774449,GSM4050172,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050172,embryo,SRP219759
SRR10039548,embryo invitro day 6,RNA-Seq,299,4796866823,PRJNA562548,SAMN12643732,1983289891,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774450,GSM4050173,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050173,embryo,SRP219759
SRR10039549,embryo invitro day 6,RNA-Seq,299,4709251557,PRJNA562548,SAMN12643731,1989901033,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774451,GSM4050174,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050174,embryo,SRP219759
SRR10039550,embryo invitro day 6,RNA-Seq,299,4870572799,PRJNA562548,SAMN12643730,1856765155,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774452,GSM4050175,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050175,embryo,SRP219759
SRR10039551,embryo invitro day 6,RNA-Seq,299,4763098740,PRJNA562548,SAMN12643729,1786214307,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774453,GSM4050176,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050176,embryo,SRP219759
SRR10039552,embryo invitro day 6,RNA-Seq,299,4783255513,PRJNA562548,SAMN12643728,1999873244,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774454,GSM4050177,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050177,embryo,SRP219759
SRR10039553,embryo invitro day 6,RNA-Seq,299,4688157729,PRJNA562548,SAMN12643727,1827760349,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774463,GSM4050178,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050178,embryo,SRP219759
SRR10039554,embryo invitro day 6,RNA-Seq,299,4958748447,PRJNA562548,SAMN12643726,2077293012,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774464,GSM4050179,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050179,embryo,SRP219759
SRR10039555,embryo invitro day 6,RNA-Seq,299,4956440636,PRJNA562548,SAMN12643650,2155951442,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774465,GSM4050180,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050180,embryo,SRP219759
SRR10039556,embryo invitro day 6,RNA-Seq,299,4641713780,PRJNA562548,SAMN12643649,1962228612,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774466,GSM4050181,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050181,embryo,SRP219759
SRR10039557,embryo invitro day 6,RNA-Seq,299,4064853051,PRJNA562548,SAMN12643648,1742804499,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774467,GSM4050182,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050182,embryo,SRP219759
SRR10039558,embryo invitro day 6,RNA-Seq,299,4747162131,PRJNA562548,SAMN12643647,2101799521,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774468,GSM4050183,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050183,embryo,SRP219759
SRR10039559,embryo invitro day 6,RNA-Seq,299,5096164516,PRJNA562548,SAMN12643646,1871712146,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774469,GSM4050184,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050184,embryo,SRP219759
SRR10039560,embryo invitro day 7,RNA-Seq,299,5422096548,PRJNA562548,SAMN12643645,2235807048,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774470,GSM4050185,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050185,embryo,SRP219759
SRR10039561,embryo invitro day 7,RNA-Seq,299,4776341351,PRJNA562548,SAMN12643644,1946718237,CTBs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774479,GSM4050186,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050186,embryo,SRP219759
SRR10039562,embryo invitro day 7,RNA-Seq,299,4769153553,PRJNA562548,SAMN12643643,1759101631,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774480,GSM4050187,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050187,embryo,SRP219759
SRR10039563,embryo invitro day 7,RNA-Seq,299,5102863798,PRJNA562548,SAMN12643642,2099130333,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774481,GSM4050188,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050188,embryo,SRP219759
SRR10039564,embryo invitro day 7,RNA-Seq,299,3841984048,PRJNA562548,SAMN12643641,1850593636,CTBs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774482,GSM4050189,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050189,embryo,SRP219759
SRR10039565,embryo invitro day 7,RNA-Seq,299,5043340679,PRJNA562548,SAMN12643640,2174032936,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774483,GSM4050190,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050190,embryo,SRP219759
SRR10039566,embryo invitro day 7,RNA-Seq,299,4698102976,PRJNA562548,SAMN12643639,1754301992,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774484,GSM4050191,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050191,embryo,SRP219759
SRR10039568,embryo invitro day 7,RNA-Seq,299,4937017456,PRJNA562548,SAMN12643637,2014727802,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774486,GSM4050193,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050193,embryo,SRP219759
