Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Development_stage,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR2089517,RNA-Seq,202,2063281530,PRJNA289146,SAMN03842666,989382462,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084768,wild type,GSM1811635,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811635,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089518,RNA-Seq,202,2149023662,PRJNA289146,SAMN03842667,1166916860,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084769,wild type,GSM1811636,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811636,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089519,RNA-Seq,202,2775909452,PRJNA289146,SAMN03842668,1383742905,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084770,wild type,GSM1811637,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811637,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089520,RNA-Seq,202,2881523132,PRJNA289146,SAMN03842669,1227638633,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084771,wild type,GSM1811638,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811638,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089521,RNA-Seq,202,2643156870,PRJNA289146,SAMN03842670,1119129093,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084772,wild type,GSM1811639,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811639,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089522,RNA-Seq,202,3027262900,PRJNA289146,SAMN03842671,1291708582,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084773,wild type,GSM1811640,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811640,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089523,RNA-Seq,202,2309713652,PRJNA289146,SAMN03842672,980922151,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084774,wild type,GSM1811641,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811641,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089524,RNA-Seq,202,2107563566,PRJNA289146,SAMN03842673,894544019,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084775,wild type,GSM1811642,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811642,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089525,RNA-Seq,202,2566504334,PRJNA289146,SAMN03842674,1074597564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084776,wild type,GSM1811643,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811643,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089526,RNA-Seq,250,1514541500,PRJNA289146,SAMN03842675,559081945,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084777,Kdm4b and Kdm5b overexpression,GSM1811644,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811644,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089527,RNA-Seq,181,1489866386,PRJNA289146,SAMN03842676,1038601101,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084778,Kdm4b and Kdm5b overexpression,GSM1811645,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811645,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089528,RNA-Seq,181,1758952208,PRJNA289146,SAMN03842677,1231827398,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084779,Kdm4b and Kdm5b overexpression,GSM1811646,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811646,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089529,RNA-Seq,181,1838601801,PRJNA289146,SAMN03842678,1261539279,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084780,Kdm4b and Kdm5b overexpression,GSM1811647,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811647,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089530,RNA-Seq,181,2345316731,PRJNA289146,SAMN03842679,1602482712,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084781,Kdm4b and Kdm5b overexpression,GSM1811648,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811648,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089531,RNA-Seq,181,2359689941,PRJNA289146,SAMN03842680,1624277730,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084782,Kdm4b and Kdm5b overexpression,GSM1811649,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811649,NT Kdm4b+Kdm5b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089532,RNA-Seq,250,2968133500,PRJNA289146,SAMN03842681,1071638251,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084783,Kdm4b and Kdm5b overexpression,GSM1811650,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811650,NT Kdm4b+Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089533,RNA-Seq,250,2718087500,PRJNA289146,SAMN03842682,987518794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084784,Kdm4b and Kdm5b overexpression,GSM1811651,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811651,NT Kdm4b+Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089534,RNA-Seq,250,2448462250,PRJNA289146,SAMN03842683,887995906,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084785,Kdm4b and Kdm5b overexpression,GSM1811652,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811652,NT Kdm4b+Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089535,RNA-Seq,250,2848145000,PRJNA289146,SAMN03842819,983513526,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084786,Kdm4b and Kdm5b overexpression,GSM1811653,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811653,NT Kdm4b+Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089536,RNA-Seq,250,3145864000,PRJNA289146,SAMN03842827,1131568888,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084787,Kdm4b and Kdm5b overexpression,GSM1811654,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811654,NT Kdm4b+Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089537,RNA-Seq,181,1885383785,PRJNA289146,SAMN03842820,1330696661,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084788,Kdm4b and Kdm5b overexpression,GSM1811655,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811655,NT Kdm4b+Kdm5b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089538,RNA-Seq,250,2817804750,PRJNA289146,SAMN03842821,1030212863,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084789,Kdm4b and Kdm5b overexpression,GSM1811656,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811656,NT Kdm4b+Kdm5b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089539,RNA-Seq,250,1951281500,PRJNA289146,SAMN03842822,703569310,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084790,Kdm4b and Kdm5b overexpression,GSM1811657,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811657,NT Kdm4b+Kdm5b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089540,RNA-Seq,181,1901547990,PRJNA289146,SAMN03842823,1336570213,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084791,Kdm4b and Kdm5b overexpression,GSM1811658,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811658,NT Kdm4b+Kdm5b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089541,RNA-Seq,181,1943657640,PRJNA289146,SAMN03842824,1358524466,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084792,Kdm4b and Kdm5b overexpression,GSM1811659,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811659,NT Kdm4b+Kdm5b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089542,RNA-Seq,181,2808482156,PRJNA289146,SAMN03842825,1899942380,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084793,Kdm4b and Kdm5b overexpression,GSM1811660,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811660,NT Kdm4b+Kdm5b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089543,RNA-Seq,181,1584058243,PRJNA289146,SAMN03842826,1101265083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084794,Kdm4b overexpression,GSM1811661,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811661,NT Kdm4b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089544,RNA-Seq,181,898674774,PRJNA289146,SAMN03842828,619541203,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084795,Kdm4b overexpression,GSM1811662,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811662,NT Kdm4b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089545,RNA-Seq,181,460706178,PRJNA289146,SAMN03842829,324216562,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084796,Kdm4b overexpression,GSM1811663,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811663,NT Kdm4b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089546,RNA-Seq,181,2125084438,PRJNA289146,SAMN03842830,1473729253,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084797,Kdm4b overexpression,GSM1811664,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811664,NT Kdm4b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089547,RNA-Seq,181,1637046174,PRJNA289146,SAMN03842831,1150651909,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084798,Kdm4b overexpression,GSM1811665,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811665,NT Kdm4b 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089548,RNA-Seq,232,2146468872,PRJNA289146,SAMN03842832,900788188,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084799,Kdm4b overexpression,GSM1811666,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811666,NT Kdm4b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089549,RNA-Seq,202,1427412396,PRJNA289146,SAMN03842833,1018275467,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084800,Kdm4b overexpression,GSM1811667,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811667,NT Kdm4b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089550,RNA-Seq,202,1058538782,PRJNA289146,SAMN03842834,736464959,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084801,Kdm4b overexpression,GSM1811668,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811668,NT Kdm4b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089551,RNA-Seq,202,1140766316,PRJNA289146,SAMN03842835,812278609,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084802,Kdm4b overexpression,GSM1811669,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811669,NT Kdm4b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089552,RNA-Seq,202,868233572,PRJNA289146,SAMN03842836,620341519,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",inner cell mass,SRX1084803,Kdm4b overexpression,GSM1811670,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811670,NT Kdm4b ICM,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089553,RNA-Seq,232,2247320664,PRJNA289146,SAMN03842837,964595920,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084804,Kdm4b overexpression,GSM1811671,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811671,NT Kdm4b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089554,RNA-Seq,232,1701300544,PRJNA289146,SAMN03842838,713828965,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084805,Kdm4b overexpression,GSM1811672,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811672,NT Kdm4b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089555,RNA-Seq,202,1006615490,PRJNA289146,SAMN03842839,719385185,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084806,Kdm4b overexpression,GSM1811673,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811673,NT Kdm4b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089556,RNA-Seq,202,1345547856,PRJNA289146,SAMN03842840,946936960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084807,Kdm4b overexpression,GSM1811674,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811674,NT Kdm4b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089557,RNA-Seq,202,1556199314,PRJNA289146,SAMN03842841,1090763029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",trophoblast,SRX1084808,Kdm4b overexpression,GSM1811675,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811675,NT Kdm4b TE,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089558,RNA-Seq,202,1007884656,PRJNA289146,SAMN03842842,693209382,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084809,Kdm4d overexpression,GSM1811676,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811676,NT Kdm4d 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089559,RNA-Seq,202,879723736,PRJNA289146,SAMN03842843,623541337,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084810,Kdm4d overexpression,GSM1811677,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811677,NT Kdm4d 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089560,RNA-Seq,202,1543351912,PRJNA289146,SAMN03842844,1007626743,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084811,Kdm4d overexpression,GSM1811678,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811678,NT Kdm4d 2-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089561,RNA-Seq,181,1229124845,PRJNA289146,SAMN03842845,870805858,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084812,Kdm5b overexpression,GSM1811679,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811679,NT Kdm5b 4-cell,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
