Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,embryo_type,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR9645813,RNA-Seq,300,5654265600,PRJNA552818,SAMN12219293,2226715190,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407758,GSM3928492,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928492,Embryo,SRP213116
SRR9645814,RNA-Seq,300,5028603300,PRJNA552818,SAMN12219292,1993135992,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407759,GSM3928493,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928493,Embryo,SRP213116
SRR9645815,RNA-Seq,300,6019691700,PRJNA552818,SAMN12219291,2329020453,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407760,GSM3928494,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928494,Embryo,SRP213116
SRR9645816,RNA-Seq,300,6172502100,PRJNA552818,SAMN12219290,2401673537,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407761,GSM3928495,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928495,Embryo,SRP213116
SRR9645817,RNA-Seq,300,6099026400,PRJNA552818,SAMN12219289,2392760682,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407762,GSM3928496,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928496,Embryo,SRP213116
SRR9645818,RNA-Seq,180,6557695740,PRJNA552818,SAMN12219288,5079347153,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407763,GSM3928497,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928497,Embryo,SRP213116
SRR9645819,RNA-Seq,180,6131480760,PRJNA552818,SAMN12219287,4732892939,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407764,GSM3928498,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928498,Embryo,SRP213116
SRR9645820,RNA-Seq,180,6633559800,PRJNA552818,SAMN12219286,5122609921,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407765,GSM3928499,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928499,Embryo,SRP213116
SRR9645821,RNA-Seq,180,8415571860,PRJNA552818,SAMN12219285,6463877396,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407766,GSM3928500,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928500,Embryo,SRP213116
SRR9645823,RNA-Seq,180,7030048140,PRJNA552818,SAMN12219283,5411900883,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407768,GSM3928502,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928502,Embryo,SRP213116
SRR9645824,RNA-Seq,180,7370161380,PRJNA552818,SAMN12219282,5717563823,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407769,GSM3928503,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928503,Embryo,SRP213116
SRR9645825,RNA-Seq,180,7968833820,PRJNA552818,SAMN12219281,6168743621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407770,GSM3928504,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928504,Embryo,SRP213116
SRR9645826,RNA-Seq,300,6200484600,PRJNA552818,SAMN12219280,2387130180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407771,GSM3928505,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928505,Embryo,SRP213116
SRR9645827,RNA-Seq,300,6170925900,PRJNA552818,SAMN12219279,2367768369,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407772,GSM3928506,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928506,Embryo,SRP213116
SRR9645828,RNA-Seq,300,6139700400,PRJNA552818,SAMN12219278,2334389144,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407773,GSM3928507,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928507,Embryo,SRP213116
SRR9645829,RNA-Seq,300,6168748500,PRJNA552818,SAMN12219276,2378292179,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407774,GSM3928508,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928508,Embryo,SRP213116
SRR9645830,RNA-Seq,300,6050469900,PRJNA552818,SAMN12219323,2327108549,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407775,GSM3928509,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928509,Embryo,SRP213116
SRR9645831,RNA-Seq,300,6204280200,PRJNA552818,SAMN12219322,2379366315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407776,GSM3928510,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928510,Embryo,SRP213116
SRR9645832,RNA-Seq,300,6206412600,PRJNA552818,SAMN12219321,2401090281,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407777,GSM3928511,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928511,Embryo,SRP213116
SRR9645833,RNA-Seq,300,6037433700,PRJNA552818,SAMN12219320,2435308268,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407778,GSM3928512,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928512,Embryo,SRP213116
SRR9645834,RNA-Seq,300,6114395100,PRJNA552818,SAMN12219319,2298732601,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407779,GSM3928513,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928513,Embryo,SRP213116
SRR9645835,RNA-Seq,300,6096051900,PRJNA552818,SAMN12219318,2331825236,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407780,GSM3928514,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928514,Embryo,SRP213116
SRR9645836,RNA-Seq,300,6126392400,PRJNA552818,SAMN12219317,2494126521,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407781,GSM3928515,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928515,Embryo,SRP213116
SRR9645837,RNA-Seq,300,6156244200,PRJNA552818,SAMN12219316,2409816586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407782,GSM3928516,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928516,Embryo,SRP213116
SRR9645838,RNA-Seq,300,5416687500,PRJNA552818,SAMN12219315,2310251470,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407783,GSM3928517,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928517,Embryo,SRP213116
SRR9645839,RNA-Seq,300,6092209800,PRJNA552818,SAMN12219314,2457858512,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407784,GSM3928518,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928518,Embryo,SRP213116
SRR9645840,RNA-Seq,300,6076898400,PRJNA552818,SAMN12219313,2441377856,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell,AG embryo,SRX6407785,GSM3928519,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928519,Embryo,SRP213116
SRR9645841,RNA-Seq,300,6208479900,PRJNA552818,SAMN12219312,2498438944,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407786,GSM3928520,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928520,Embryo,SRP213116
SRR9645842,RNA-Seq,300,6153266400,PRJNA552818,SAMN12219311,2392161777,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407787,GSM3928521,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928521,Embryo,SRP213116
SRR9645843,RNA-Seq,300,6167608200,PRJNA552818,SAMN12219310,2441248966,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407788,GSM3928522,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928522,Embryo,SRP213116
SRR9645844,RNA-Seq,300,6157255500,PRJNA552818,SAMN12219309,2433188548,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407789,GSM3928523,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928523,Embryo,SRP213116
SRR9645845,RNA-Seq,300,6192468600,PRJNA552818,SAMN12219308,2471186050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407790,GSM3928524,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928524,Embryo,SRP213116
SRR9645846,RNA-Seq,300,6190144800,PRJNA552818,SAMN12219307,2480922031,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407791,GSM3928525,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928525,Embryo,SRP213116
SRR9645847,RNA-Seq,300,6024482100,PRJNA552818,SAMN12219306,2417398879,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407792,GSM3928526,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928526,Embryo,SRP213116
SRR9645848,RNA-Seq,300,6131820900,PRJNA552818,SAMN12219305,2447194832,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407793,GSM3928527,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928527,Embryo,SRP213116
SRR9645849,RNA-Seq,300,5791635000,PRJNA552818,SAMN12219303,2435169072,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407794,GSM3928528,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928528,Embryo,SRP213116
SRR9645850,RNA-Seq,300,6173316300,PRJNA552818,SAMN12219302,2422254255,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407795,GSM3928529,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928529,Embryo,SRP213116
SRR9645851,RNA-Seq,300,6087334200,PRJNA552818,SAMN12219301,2456543598,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407796,GSM3928530,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928530,Embryo,SRP213116
SRR9645852,RNA-Seq,300,6124262400,PRJNA552818,SAMN12219300,2397446618,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407797,GSM3928531,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928531,Embryo,SRP213116
SRR9645853,RNA-Seq,300,6130877700,PRJNA552818,SAMN12219350,2357742815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407798,GSM3928532,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928532,Embryo,SRP213116
SRR9645854,RNA-Seq,300,6196495800,PRJNA552818,SAMN12219349,2417317790,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407799,GSM3928533,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928533,Embryo,SRP213116
SRR9645855,RNA-Seq,300,6027847800,PRJNA552818,SAMN12219348,2363721952,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407800,GSM3928534,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928534,Embryo,SRP213116
SRR9645856,RNA-Seq,300,6086703000,PRJNA552818,SAMN12219346,2362815216,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407801,GSM3928535,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928535,Embryo,SRP213116
SRR9645857,RNA-Seq,300,6204700800,PRJNA552818,SAMN12219345,2438630011,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407802,GSM3928536,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928536,Embryo,SRP213116
SRR9645858,RNA-Seq,300,5536139700,PRJNA552818,SAMN12219344,2190334756,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407803,GSM3928537,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928537,Embryo,SRP213116
SRR9645859,RNA-Seq,300,6190808400,PRJNA552818,SAMN12219343,2461174051,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407804,GSM3928538,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928538,Embryo,SRP213116
SRR9645860,RNA-Seq,300,6071204100,PRJNA552818,SAMN12219342,2365203299,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407805,GSM3928539,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928539,Embryo,SRP213116
SRR9645861,RNA-Seq,300,6158025000,PRJNA552818,SAMN12219341,2404361526,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407806,GSM3928540,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928540,Embryo,SRP213116
SRR9645862,RNA-Seq,300,6051968700,PRJNA552818,SAMN12219340,2323289878,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407807,GSM3928541,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928541,Embryo,SRP213116
SRR9645863,RNA-Seq,300,6153382800,PRJNA552818,SAMN12219339,2342664896,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407808,GSM3928542,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928542,Embryo,SRP213116
SRR9645864,RNA-Seq,300,6163080600,PRJNA552818,SAMN12219338,2406595752,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407809,GSM3928543,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928543,Embryo,SRP213116
SRR9645865,RNA-Seq,300,6027435900,PRJNA552818,SAMN12219337,2344142306,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407810,GSM3928544,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928544,Embryo,SRP213116
SRR9645866,RNA-Seq,300,6148588800,PRJNA552818,SAMN12219336,2386649275,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407811,GSM3928545,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928545,Embryo,SRP213116
SRR9645867,RNA-Seq,300,5383797900,PRJNA552818,SAMN12219335,2130917418,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407812,GSM3928546,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928546,Embryo,SRP213116
SRR9645868,RNA-Seq,300,6063852300,PRJNA552818,SAMN12219334,2342708378,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407813,GSM3928547,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928547,Embryo,SRP213116
SRR9645869,RNA-Seq,300,6077776800,PRJNA552818,SAMN12219332,2343568520,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407814,GSM3928548,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928548,Embryo,SRP213116
SRR9645870,RNA-Seq,300,6127263000,PRJNA552818,SAMN12219502,2388485442,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407815,GSM3928549,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928549,Embryo,SRP213116
SRR9645871,RNA-Seq,300,6149952900,PRJNA552818,SAMN12219501,2370897753,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula,AG embryo,SRX6407816,GSM3928550,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928550,Embryo,SRP213116
