Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,facs_type,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR9602581,RNA-Seq,300,11516198100,PRJNA551221,SAMN12142241,5604165994,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS23,SRX6367799,CD45+CD235a-,GSM3906039,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906039,human embryonic cells,SRP212115,"Head\, Liver\, Skin\, Lung"
SRR9602583,RNA-Seq,300,9597843300,PRJNA551221,SAMN12142240,4616854943,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS13,SRX6367800,CD45+CD235a-,GSM3906040,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906040,human embryonic cells,SRP212115,"Yolk sac\, Head\, Blood"
SRR9602584,RNA-Seq,300,10021105200,PRJNA551221,SAMN12142240,4799418651,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS13,SRX6367800,CD45+CD235a-,GSM3906040,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906040,human embryonic cells,SRP212115,"Yolk sac\, Head\, Blood"
SRR9602585,RNA-Seq,300,8497920600,PRJNA551221,SAMN12142240,4098838957,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS13,SRX6367800,CD45+CD235a-,GSM3906040,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906040,human embryonic cells,SRP212115,"Yolk sac\, Head\, Blood"
SRR9602586,RNA-Seq,300,23165510400,PRJNA551221,SAMN12142239,11751567351,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS12,SRX6367801,CD45+CD235a-,GSM3906041,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906041,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver"
SRR9602587,RNA-Seq,300,30517890000,PRJNA551221,SAMN12142239,15132259733,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS12,SRX6367801,CD45+CD235a-,GSM3906041,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906041,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver"
SRR9602588,RNA-Seq,300,31550322900,PRJNA551221,SAMN12142239,15871349175,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS12,SRX6367801,CD45+CD235a-,GSM3906041,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906041,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver"
SRR9602589,RNA-Seq,300,32794427100,PRJNA551221,SAMN12142238,16549386455,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367802,CD45+CD235a-,GSM3906042,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906042,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602590,RNA-Seq,300,30737157900,PRJNA551221,SAMN12142238,15380716305,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367802,CD45+CD235a-,GSM3906042,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906042,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602591,RNA-Seq,300,32583329100,PRJNA551221,SAMN12142238,16173346682,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367802,CD45+CD235a-,GSM3906042,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906042,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602592,RNA-Seq,300,29953750200,PRJNA551221,SAMN12142238,15152814722,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367802,CD45+CD235a-,GSM3906042,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906042,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602595,RNA-Seq,300,32817210000,PRJNA551221,SAMN12142237,17076032304,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS20,SRX6367803,CD45+CD235a-,GSM3906043,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906043,human embryonic cells,SRP212115,"Head\, Liver\, Blood\, Skin\, Lung"
SRR9602596,RNA-Seq,300,33314509800,PRJNA551221,SAMN12142237,17468437558,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS20,SRX6367803,CD45+CD235a-,GSM3906043,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906043,human embryonic cells,SRP212115,"Head\, Liver\, Blood\, Skin\, Lung"
SRR9602597,RNA-Seq,300,22557993300,PRJNA551221,SAMN12142237,11267783328,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS20,SRX6367803,CD45+CD235a-,GSM3906043,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906043,human embryonic cells,SRP212115,"Head\, Liver\, Blood\, Skin\, Lung"
SRR9602599,RNA-Seq,300,20794001100,PRJNA551221,SAMN12142236,10169974601,foreskin cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8_years_old(LCH04) and 10_years_old(LCH05),SRX6367804,CD45+CD207+CD1a+,GSM3906044,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906044,human chlid foreskin cells,SRP212115,Foreskin
SRR9602594,RNA-Seq,300,31046389200,PRJNA551221,SAMN12142237,16284344909,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS20,SRX6367803,CD45+CD235a-,GSM3906043,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906043,human embryonic cells,SRP212115,"Head\, Liver\, Blood\, Skin\, Lung"
SRR9602571,RNA-Seq,300,28541242800,PRJNA551221,SAMN12142243,14061612248,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602579,RNA-Seq,300,7928392200,PRJNA551221,SAMN12142241,4041956461,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS23,SRX6367799,CD45+CD235a-,GSM3906039,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906039,human embryonic cells,SRP212115,"Head\, Liver\, Skin\, Lung"
SRR9602568,RNA-Seq,300,28656637200,PRJNA551221,SAMN12142244,14006780862,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367796,CD45+CD235a-,GSM3906036,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906036,human embryonic cells,SRP212115,"Head\, Liver\, Blood"
SRR9602569,RNA-Seq,300,28695789000,PRJNA551221,SAMN12142244,14058453030,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367796,CD45+CD235a-,GSM3906036,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906036,human embryonic cells,SRP212115,"Head\, Liver\, Blood"
SRR9602582,RNA-Seq,300,7983336000,PRJNA551221,SAMN12142241,4013793533,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS23,SRX6367799,CD45+CD235a-,GSM3906039,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906039,human embryonic cells,SRP212115,"Head\, Liver\, Skin\, Lung"
SRR9602593,RNA-Seq,300,23045452800,PRJNA551221,SAMN12142237,12045339792,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS20,SRX6367803,CD45+CD235a-,GSM3906043,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906043,human embryonic cells,SRP212115,"Head\, Liver\, Blood\, Skin\, Lung"
SRR9602598,RNA-Seq,300,17653588800,PRJNA551221,SAMN12142236,8652134300,foreskin cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8_years_old(LCH04) and 10_years_old(LCH05),SRX6367804,CD45+CD207+CD1a+,GSM3906044,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906044,human chlid foreskin cells,SRP212115,Foreskin
