Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_type,Passage,Tissue
SRR2130095,RNA-Seq,250,1582320250,PRJNA291062,SAMN03939201,794459003,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120846,GSM1833289,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833289,human 2 cell,SRP061636,2 cell,,
SRR2130096,RNA-Seq,250,5870198000,PRJNA291062,SAMN03939202,3165348149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120847,GSM1833290,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833290,human 2 cell,SRP061636,2 cell,,
SRR2130097,RNA-Seq,250,5902606000,PRJNA291062,SAMN03939203,3068075259,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120848,GSM1833291,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833291,human 2 cell,SRP061636,2 cell,,
SRR2130098,RNA-Seq,250,2563384000,PRJNA291062,SAMN03939204,1332107540,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120849,GSM1833292,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833292,human 4 cell,SRP061636,4 cell,,
SRR2130099,RNA-Seq,250,1615798500,PRJNA291062,SAMN03939205,819948839,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120850,GSM1833294,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833294,human 4 cell,SRP061636,4 cell,,
SRR2130100,RNA-Seq,250,5349366250,PRJNA291062,SAMN03939206,2669705822,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120851,GSM1833295,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833295,human 4 cell,SRP061636,4 cell,,
SRR2130101,RNA-Seq,250,7092913500,PRJNA291062,SAMN03939207,3549349797,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120852,GSM1833296,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833296,human 4 cell,SRP061636,4 cell,,
SRR2130102,RNA-Seq,250,4527700250,PRJNA291062,SAMN03939208,2295470629,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120853,GSM1833297,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833297,human 8 cell,SRP061636,8 cell,,
SRR2130103,RNA-Seq,250,9216466750,PRJNA291062,SAMN03939209,4656408517,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120854,GSM1833298,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833298,human 8 cell,SRP061636,8 cell,,
SRR2130104,RNA-Seq,250,8995243500,PRJNA291062,SAMN03939210,4570486451,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120855,GSM1833300,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833300,human 8 cell,SRP061636,8 cell,,
SRR2130105,RNA-Seq,250,6297588000,PRJNA291062,SAMN03939211,3235710177,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120856,GSM1833302,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833302,human 8 cell,SRP061636,8 cell,,
SRR2130106,RNA-Seq,250,6883635250,PRJNA291062,SAMN03939212,3506519586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120857,GSM1833304,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833304,human 8 cell,SRP061636,8 cell,,
SRR2130107,RNA-Seq,250,2811394500,PRJNA291062,SAMN03939213,1455198149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120858,GSM1833307,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833307,human morula,SRP061636,morula,,
SRR2130108,RNA-Seq,250,2705788250,PRJNA291062,SAMN03939214,1404475158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120859,GSM1833309,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833309,human morula,SRP061636,morula,,
SRR2130109,RNA-Seq,250,4759223250,PRJNA291062,SAMN03939215,2461304834,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120860,GSM1833312,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833312,human morula,SRP061636,morula,,
SRR2130110,RNA-Seq,250,7082077000,PRJNA291062,SAMN03939216,3610910369,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120861,GSM1833314,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833314,human morula,SRP061636,morula,,
SRR2130111,RNA-Seq,250,2666947500,PRJNA291062,SAMN03939227,1338043661,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120862,GSM1833316,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833316,human early blastocsyt,SRP061636,early blastocsyt,,
SRR2130112,RNA-Seq,250,2229728750,PRJNA291062,SAMN03939228,1173100042,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120863,GSM1833318,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833318,human early blastocsyt,SRP061636,early blastocsyt,,
SRR2130113,RNA-Seq,250,5723159250,PRJNA291062,SAMN03939217,2853173856,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120864,GSM1833321,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833321,human early blastocsyt,SRP061636,early blastocsyt,,
SRR2130114,RNA-Seq,250,3259790500,PRJNA291062,SAMN03939218,1623749878,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120865,GSM1833323,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833323,human middle blastocyst,SRP061636,middle blastocyst,,
SRR2130115,RNA-Seq,250,2362892000,PRJNA291062,SAMN03939219,1212020003,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120866,GSM1833324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833324,human middle blastocyst,SRP061636,middle blastocyst,,
SRR2130116,RNA-Seq,250,5858039500,PRJNA291062,SAMN03939220,2959725341,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120867,GSM1833325,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833325,human middle blastocyst,SRP061636,middle blastocyst,,
SRR2130117,RNA-Seq,250,2900454750,PRJNA291062,SAMN03939226,1458359674,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120868,GSM1833326,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833326,human late blastoycst,SRP061636,late blastoycst,,
SRR2130118,RNA-Seq,250,2445846000,PRJNA291062,SAMN03939229,1250386935,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120869,GSM1833327,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833327,human late blastoycst,SRP061636,late blastoycst,,
SRR2130119,RNA-Seq,250,5341773250,PRJNA291062,SAMN03939230,2648023962,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120870,GSM1833328,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833328,human late blastoycst,SRP061636,late blastocyst,,
SRR2130120,RNA-Seq,250,4854406250,PRJNA291062,SAMN03939231,2392880657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120871,GSM1833329,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833329,human ICM,SRP061636,ICM,,
SRR2130121,RNA-Seq,250,5069017250,PRJNA291062,SAMN03939221,2608650080,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120872,GSM1833330,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833330,human ICM,SRP061636,ICM,,
SRR2130122,RNA-Seq,250,5413793500,PRJNA291062,SAMN03939222,2844851084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120873,GSM1833331,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833331,human ICM,SRP061636,ICM,,
SRR2130123,RNA-Seq,250,5056360500,PRJNA291062,SAMN03939223,2615222931,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120874,GSM1833332,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833332,human TE,SRP061636,TE,,
SRR2130124,RNA-Seq,250,4524292750,PRJNA291062,SAMN03939224,2391291121,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120875,GSM1833333,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833333,human TE,SRP061636,TE,,
SRR2130125,RNA-Seq,250,4358000000,PRJNA291062,SAMN03939225,2316187923,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120876,GSM1833334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833334,human TE,SRP061636,TE,,
SRR3062171,RNA-Seq,202,2697867156,PRJNA291062,SAMN04376044,1828901308,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1506682,GSM1985628,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1985628,human stem cells,SRP061636,,51,stem cells
SRR3062172,RNA-Seq,202,2523215330,PRJNA291062,SAMN04376045,1720986990,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1506683,GSM1985629,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1985629,human stem cells,SRP061636,,51,stem cells
SRR3062173,RNA-Seq,202,2121489042,PRJNA291062,SAMN04376046,1445593731,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1506684,GSM1985630,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1985630,human stem cells,SRP061636,,51,stem cells
SRR3062174,RNA-Seq,202,3223787286,PRJNA291062,SAMN04376047,2177795664,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1506685,GSM1985631,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1985631,human stem cells,SRP061636,,51,stem cells
SRR3501436,RNA-Seq,202,1272569902,PRJNA291062,SAMN04994841,768019746,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1759141,GSM2151860,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM2151860,human stem cells,SRP061636,,51,stem cells
SRR3501437,RNA-Seq,202,1406214718,PRJNA291062,SAMN04994842,849661356,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1759142,GSM2151861,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM2151861,human stem cells,SRP061636,,51,stem cells
SRR3501438,RNA-Seq,202,1607914546,PRJNA291062,SAMN04994843,968377985,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1759143,GSM2151862,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM2151862,human stem cells,SRP061636,,51,stem cells
