Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,data_set,AssemblyName
SRR9908399,Bisulfite-Seq,51,517727689,PRJNA296379,SAMN12497954,145014175,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658470,GSM4007722,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007722,HUES3,SRP063867,,GCA_000001405.13
SRR9908400,Bisulfite-Seq,51,835742570,PRJNA296379,SAMN12497954,236812827,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658470,GSM4007722,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007722,HUES3,SRP063867,,GCA_000001405.13
SRR9908401,Bisulfite-Seq,51,3216832,PRJNA296379,SAMN12497951,1700684,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658471,GSM4007723,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007723,HUES3,SRP063867,,GCA_000001405.13
SRR9908402,Bisulfite-Seq,52,179674558,PRJNA296379,SAMN12497951,55403279,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658471,GSM4007723,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007723,HUES3,SRP063867,,GCA_000001405.13
SRR9908403,Bisulfite-Seq,52,292625228,PRJNA296379,SAMN12497951,101745421,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658471,GSM4007723,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007723,HUES3,SRP063867,,GCA_000001405.13
SRR9908404,Bisulfite-Seq,50,25532358,PRJNA296379,SAMN12497949,10058537,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658472,GSM4007724,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007724,HUES3,SRP063867,,GCA_000001405.13
SRR9908405,Bisulfite-Seq,52,296087642,PRJNA296379,SAMN12497949,83842335,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658472,GSM4007724,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007724,HUES3,SRP063867,,GCA_000001405.13
SRR9908406,Bisulfite-Seq,52,479693575,PRJNA296379,SAMN12497949,150763184,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658472,GSM4007724,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007724,HUES3,SRP063867,,GCA_000001405.13
SRR9908407,Bisulfite-Seq,50,2033092,PRJNA296379,SAMN12497947,1209550,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658473,GSM4007725,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007725,HUES2,SRP063867,,GCA_000001405.13
SRR9908408,Bisulfite-Seq,51,126791870,PRJNA296379,SAMN12497947,41479028,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658473,GSM4007725,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007725,HUES2,SRP063867,,GCA_000001405.13
SRR9908409,Bisulfite-Seq,51,214640771,PRJNA296379,SAMN12497947,71952418,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658473,GSM4007725,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007725,HUES2,SRP063867,,GCA_000001405.13
SRR2453299,RNA-Seq,202,4306967644,PRJNA296379,SAMN04096433,2644682853,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261729,GSM1888619,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888619,Fibroblast,SRP063867,isogenic,
SRR2453300,RNA-Seq,202,6342747884,PRJNA296379,SAMN04096433,3857959634,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261729,GSM1888619,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888619,Fibroblast,SRP063867,isogenic,
SRR2453301,RNA-Seq,202,12365616244,PRJNA296379,SAMN04096434,7917348175,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261730,GSM1888620,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888620,iPSC,SRP063867,isogenic,
SRR2453302,RNA-Seq,202,13171013878,PRJNA296379,SAMN04096435,8662540763,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261731,GSM1888621,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888621,Fibroblast,SRP063867,isogenic,
SRR2453303,RNA-Seq,202,7881657816,PRJNA296379,SAMN04096436,4896440266,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261732,GSM1888622,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888622,iPSC,SRP063867,isogenic,
SRR2453304,RNA-Seq,202,919509454,PRJNA296379,SAMN04096436,560983618,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261732,GSM1888622,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888622,iPSC,SRP063867,isogenic,
SRR2453305,RNA-Seq,202,11403564580,PRJNA296379,SAMN04096437,7456588945,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261733,GSM1888623,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888623,Fibroblast,SRP063867,isogenic,
SRR2453306,RNA-Seq,202,8988865064,PRJNA296379,SAMN04096438,5561478734,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261734,GSM1888624,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888624,iPSC,SRP063867,isogenic,
SRR2453307,RNA-Seq,202,10725371396,PRJNA296379,SAMN04096439,6968992589,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261735,GSM1888625,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888625,Fibroblast,SRP063867,isogenic,
SRR2453308,RNA-Seq,202,11048897020,PRJNA296379,SAMN04096440,6817921534,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261736,GSM1888626,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888626,iPSC,SRP063867,isogenic,
SRR2453309,RNA-Seq,202,10379973212,PRJNA296379,SAMN04096441,6349900552,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261737,GSM1888627,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888627,Fibroblast,SRP063867,isogenic,
SRR2453310,RNA-Seq,202,16277779736,PRJNA296379,SAMN04096442,10396206730,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261738,GSM1888628,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888628,iPSC,SRP063867,isogenic,
SRR2453311,RNA-Seq,202,11998969882,PRJNA296379,SAMN04096443,7350943513,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261739,GSM1888629,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888629,Fibroblast,SRP063867,isogenic,
SRR2453312,RNA-Seq,202,4320849084,PRJNA296379,SAMN04096444,2773035066,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261740,GSM1888630,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888630,iPSC,SRP063867,isogenic,
SRR2453313,RNA-Seq,202,104128172,PRJNA296379,SAMN04096444,60626274,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261740,GSM1888630,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888630,iPSC,SRP063867,isogenic,
SRR2453314,RNA-Seq,202,3114010992,PRJNA296379,SAMN04096444,1885848216,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261740,GSM1888630,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888630,iPSC,SRP063867,isogenic,
SRR2453315,RNA-Seq,202,10517550766,PRJNA296379,SAMN04096445,6746621564,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261741,GSM1888631,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888631,ESC,SRP063867,isogenic,
SRR2453316,RNA-Seq,202,10190417220,PRJNA296379,SAMN04096446,6523607511,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261742,GSM1888632,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888632,ESC,SRP063867,isogenic,
SRR2453317,RNA-Seq,202,10866751196,PRJNA296379,SAMN04096447,6953959409,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261743,GSM1888633,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888633,ESC,SRP063867,isogenic,
SRR2453318,RNA-Seq,202,10395503376,PRJNA296379,SAMN04096448,6311500094,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261744,GSM1888634,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888634,Fibroblast,SRP063867,isogenic,
SRR2453319,RNA-Seq,202,8633970860,PRJNA296379,SAMN04096449,5346006397,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261745,GSM1888635,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888635,Fibroblast,SRP063867,isogenic,
SRR2453320,RNA-Seq,202,9745016714,PRJNA296379,SAMN04096450,6018386508,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261746,GSM1888636,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888636,Fibroblast,SRP063867,isogenic,
SRR2453321,RNA-Seq,202,7353292476,PRJNA296379,SAMN04096451,4281030963,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261747,GSM1888637,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888637,ESC,SRP063867,isogenic,
SRR2453322,RNA-Seq,202,1722721246,PRJNA296379,SAMN04096451,1051591492,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261747,GSM1888637,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888637,ESC,SRP063867,isogenic,
SRR2453323,RNA-Seq,202,8828763096,PRJNA296379,SAMN04096452,5456951799,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261748,GSM1888638,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888638,Fibroblast,SRP063867,isogenic,
SRR2453324,RNA-Seq,202,4879118302,PRJNA296379,SAMN04096453,2820959797,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261749,GSM1888639,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888639,ESC,SRP063867,isogenic,
SRR2453325,RNA-Seq,202,4237538628,PRJNA296379,SAMN04096453,2563498673,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261749,GSM1888639,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888639,ESC,SRP063867,isogenic,
SRR2453326,RNA-Seq,202,3049392202,PRJNA296379,SAMN04096454,1782684927,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261750,GSM1888640,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888640,ESC,SRP063867,isogenic,
SRR2453327,RNA-Seq,202,5061297456,PRJNA296379,SAMN04096454,3093615119,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261750,GSM1888640,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888640,ESC,SRP063867,isogenic,
SRR2453328,RNA-Seq,202,9493890516,PRJNA296379,SAMN04096455,5904565532,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261751,GSM1888641,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888641,ESC,SRP063867,isogenic,
SRR2453329,RNA-Seq,202,6682613894,PRJNA296379,SAMN04096456,4159416697,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261752,GSM1888642,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888642,ESC,SRP063867,isogenic,
SRR2453330,RNA-Seq,202,1705856468,PRJNA296379,SAMN04096456,1017852314,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261752,GSM1888642,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888642,ESC,SRP063867,isogenic,
SRR2453331,RNA-Seq,202,11448044778,PRJNA296379,SAMN04096459,7113836133,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261753,GSM1888643,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888643,ESC,SRP063867,isogenic,
SRR2453332,RNA-Seq,202,6372433198,PRJNA296379,SAMN04096460,3888483663,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261754,GSM1888644,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888644,Fibroblast,SRP063867,isogenic,
SRR2453333,RNA-Seq,202,2556146380,PRJNA296379,SAMN04096460,1562646433,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261754,GSM1888644,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888644,Fibroblast,SRP063867,isogenic,
SRR2453334,RNA-Seq,202,8394763268,PRJNA296379,SAMN04096461,5329038425,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261755,GSM1888645,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888645,Fibroblast,SRP063867,isogenic,
SRR2453335,RNA-Seq,202,6829003698,PRJNA296379,SAMN04096462,4306554091,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261756,GSM1888646,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888646,Fibroblast,SRP063867,isogenic,
SRR2453336,RNA-Seq,202,15993434638,PRJNA296379,SAMN04096403,10144703167,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261757,GSM1888647,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888647,Fibroblast,SRP063867,isogenic,
SRR2453337,RNA-Seq,202,5404038330,PRJNA296379,SAMN04096404,3322990041,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261758,GSM1888648,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888648,ESC,SRP063867,isogenic,
SRR2453338,RNA-Seq,202,2259618056,PRJNA296379,SAMN04096404,1344969483,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261758,GSM1888648,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888648,ESC,SRP063867,isogenic,
SRR2453339,RNA-Seq,202,9998210180,PRJNA296379,SAMN04096457,6142744608,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261759,GSM1888649,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888649,ESC,SRP063867,isogenic,
SRR2453340,RNA-Seq,202,10215605004,PRJNA296379,SAMN04096458,6278282119,ESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261760,GSM1888650,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888650,ESC,SRP063867,isogenic,
SRR2453341,RNA-Seq,202,8010414838,PRJNA296379,SAMN04096405,4866052434,Fibroblast,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261761,GSM1888651,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888651,Fibroblast,SRP063867,isogenic,
SRR2453342,RNA-Seq,202,5428157534,PRJNA296379,SAMN04096406,3286522917,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261762,GSM1888652,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888652,ESC,SRP063867,nonisogenic,
SRR2453343,RNA-Seq,202,3706284486,PRJNA296379,SAMN04096407,2244692217,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261763,GSM1888653,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888653,ESC,SRP063867,nonisogenic,
SRR2453344,RNA-Seq,202,2910360854,PRJNA296379,SAMN04096408,1770350114,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261764,GSM1888654,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888654,iPSC,SRP063867,nonisogenic,
