Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,surface_antigen_enrichment,Cell_Line
SRR1633282,RNA-Seq,202,3177915712,PRJNA265099,SAMN03145570,2400987936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745192,GSM1533231,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533231,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-24,TRA-1-60-,
SRR1633285,RNA-Seq,202,3240563386,PRJNA265099,SAMN03145575,2484355473,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745193,GSM1533232,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533232,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-19,TRA-1-60+,
SRR1633288,RNA-Seq,202,2108776576,PRJNA265099,SAMN03145576,991250251,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745194,GSM1533233,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533233,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-19,TRA-1-60+,
SRR1633293,RNA-Seq,202,1588358118,PRJNA265099,SAMN03145571,747944767,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745196,GSM1533235,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533235,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5; LSD1 inhibition,,
SRR1633300,RNA-Seq,200,1676709000,PRJNA265099,SAMN03145562,1187176080,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745200,GSM1533239,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533239,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633302,RNA-Seq,200,1417007800,PRJNA265099,SAMN03145562,902355916,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745200,GSM1533239,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533239,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633304,RNA-Seq,200,1606490600,PRJNA265099,SAMN03145506,1014563662,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745201,GSM1533240,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533240,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633306,RNA-Seq,200,1748645600,PRJNA265099,SAMN03145507,1237345978,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745202,GSM1533241,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533241,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633308,RNA-Seq,200,1458778000,PRJNA265099,SAMN03145507,932187559,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745202,GSM1533241,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533241,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633314,RNA-Seq,200,1458282400,PRJNA265099,SAMN03145505,924952315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745204,GSM1533243,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533243,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633316,RNA-Seq,200,1527803200,PRJNA265099,SAMN03145520,968400488,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745205,GSM1533244,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533244,human inducible fibroblasts-like cells (hiF),SRP049340,,,
SRR1633321,RNA-Seq,200,1011947600,PRJNA265099,SAMN03145511,638144898,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745207,GSM1533246,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533246,immortalized human inducible fibroblasts-like cells (hiF-T),SRP049340,,,
SRR1633323,RNA-Seq,200,1763753600,PRJNA265099,SAMN03145517,1242709596,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745208,GSM1533247,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533247,immortalized human inducible fibroblasts-like cells (hiF-T),SRP049340,,,
SRR1633329,RNA-Seq,200,1838786800,PRJNA265099,SAMN03145513,1294417188,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745210,GSM1533249,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533249,primary BJ fibroblasts,SRP049340,,,
SRR1633330,RNA-Seq,200,1625901200,PRJNA265099,SAMN03145513,1033068257,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745210,GSM1533249,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533249,primary BJ fibroblasts,SRP049340,,,
SRR1633336,RNA-Seq,200,1344269400,PRJNA265099,SAMN03145512,849378694,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745212,GSM1533251,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533251,reprogramming intermediates of hiF cells,SRP049340,DOX days 0-14,TRA-1-60+,
SRR1633341,RNA-Seq,202,1746610978,PRJNA265099,SAMN03145518,821020403,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745214,GSM1533253,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533253,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
SRR1633346,RNA-Seq,202,2173116000,PRJNA265099,SAMN03145516,1022111358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745216,GSM1533255,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533255,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
SRR1633348,RNA-Seq,202,1908619422,PRJNA265099,SAMN03145534,898288400,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745217,GSM1533256,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533256,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-24,TRA-1-60+,
SRR1633351,RNA-Seq,202,2318441062,PRJNA265099,SAMN03145527,1756618187,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745218,GSM1533257,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533257,hIPSCs from reprogrammed hiF cells (hIPSC),SRP049340,,,
SRR1633353,RNA-Seq,200,2005202600,PRJNA265099,SAMN03145530,1418005721,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745219,GSM1533258,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533258,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633355,RNA-Seq,200,2020670200,PRJNA265099,SAMN03145530,1286516263,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745219,GSM1533258,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533258,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633357,RNA-Seq,200,1619119000,PRJNA265099,SAMN03145545,1023394873,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745220,GSM1533259,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533259,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633358,RNA-Seq,200,1635004800,PRJNA265099,SAMN03145545,1039683879,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745220,GSM1533259,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533259,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633359,RNA-Seq,200,1621257000,PRJNA265099,SAMN03145544,1151421744,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745221,GSM1533260,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533260,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633362,RNA-Seq,200,1685338000,PRJNA265099,SAMN03145521,1192056065,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745222,GSM1533261,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533261,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633364,RNA-Seq,200,1424184000,PRJNA265099,SAMN03145521,909112266,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745222,GSM1533261,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533261,hIPSCs from reprogrammed hiF-T cells (hIPSC-T),SRP049340,,,
SRR1633230,RNA-Seq,202,2933868402,PRJNA265099,SAMN03145546,2233276592,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745173,GSM1533212,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533212,reprogramming intermediates of hiF-T cells,SRP049340,no DOX,,
SRR1633232,RNA-Seq,200,1281936600,PRJNA265099,SAMN03145525,775097517,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745174,GSM1533213,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533213,reprogramming intermediates of hiF-T cells,SRP049340,no DOX,,
SRR1633235,RNA-Seq,202,2570335264,PRJNA265099,SAMN03145552,1949734933,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745175,GSM1533214,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533214,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-2,,
SRR1633239,RNA-Seq,200,1210040800,PRJNA265099,SAMN03145526,697304651,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745176,GSM1533215,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533215,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-2,,
SRR1633241,RNA-Seq,202,1999883426,PRJNA265099,SAMN03145531,1528854840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745177,GSM1533216,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533216,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5,,
SRR1633242,RNA-Seq,202,2616156338,PRJNA265099,SAMN03145531,1981275988,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745177,GSM1533216,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533216,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5,,
SRR1633247,RNA-Seq,202,1449214458,PRJNA265099,SAMN03145549,679052543,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745179,GSM1533218,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533218,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-8,,
SRR1633251,RNA-Seq,200,2083315200,PRJNA265099,SAMN03145533,1258047607,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745181,GSM1533220,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533220,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,SSEA3+,
SRR1633254,RNA-Seq,202,1631884270,PRJNA265099,SAMN03145550,766838826,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745182,GSM1533221,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533221,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,SSEA3+,
SRR1633256,RNA-Seq,200,1574888600,PRJNA265099,SAMN03145524,947223899,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745183,GSM1533222,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533222,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,,
SRR1633261,RNA-Seq,200,1110905200,PRJNA265099,SAMN03145547,640136420,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745184,GSM1533223,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533223,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,SSEA3-,
SRR1633262,RNA-Seq,200,862905800,PRJNA265099,SAMN03145532,521461875,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745185,GSM1533224,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533224,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3+,
SRR1633266,RNA-Seq,202,1419892138,PRJNA265099,SAMN03145535,668311026,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745186,GSM1533225,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533225,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3+,
SRR1633269,RNA-Seq,200,766166200,PRJNA265099,SAMN03145540,442636316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745187,GSM1533226,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533226,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,,
SRR1633272,RNA-Seq,200,593164000,PRJNA265099,SAMN03145529,342594680,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745188,GSM1533227,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533227,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3-,
SRR1633275,RNA-Seq,200,903305400,PRJNA265099,SAMN03145548,519696923,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745189,GSM1533228,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533228,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
SRR1633276,RNA-Seq,202,1034080622,PRJNA265099,SAMN03145543,486107666,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745190,GSM1533229,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533229,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
SRR1633277,RNA-Seq,202,957499796,PRJNA265099,SAMN03145543,451140449,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745190,GSM1533229,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533229,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
