Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,predicted_viability,ReleaseDate,Sample Name,source_name,SRA Study,tissue_type
SRR1782591,RNA-Seq,202,12621637710,PRJNA274140,SAMN03322783,8087670061,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861649,GSM1598293,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598293,Human zygote (2PN),SRP053004,embryo
SRR1782592,RNA-Seq,202,10134761372,PRJNA274140,SAMN03322776,6492196306,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861650,GSM1598294,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598294,Human zygote (2PN),SRP053004,embryo
SRR1782593,RNA-Seq,202,13347023750,PRJNA274140,SAMN03322775,8470269789,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861651,GSM1598295,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598295,Human zygote (2PN),SRP053004,embryo
SRR1782594,RNA-Seq,202,8093877804,PRJNA274140,SAMN03322780,5137201202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861652,GSM1598296,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598296,Human zygote (2PN),SRP053004,embryo
SRR1782595,RNA-Seq,202,11667510102,PRJNA274140,SAMN03322778,7559572612,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861653,GSM1598297,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598297,Human zygote (2PN),SRP053004,embryo
SRR1782596,RNA-Seq,202,10817746602,PRJNA274140,SAMN03322781,7011414386,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861654,GSM1598298,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598298,Human zygote (2PN),SRP053004,embryo
SRR1782597,RNA-Seq,202,13023643768,PRJNA274140,SAMN03322784,8447006632,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861655,GSM1598299,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598299,Human zygote (2PN),SRP053004,embryo
SRR1782598,RNA-Seq,202,11064517882,PRJNA274140,SAMN03322785,7061561298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861656,GSM1598300,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598300,Human zygote (2PN),SRP053004,embryo
SRR1782599,RNA-Seq,202,12066400916,PRJNA274140,SAMN03322774,7764869249,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861657,GSM1598301,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598301,Human zygote (2PN),SRP053004,embryo
SRR1782600,RNA-Seq,202,10205668422,PRJNA274140,SAMN03322786,6512367071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861658,GSM1598302,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598302,Human zygote (2PN),SRP053004,embryo
SRR1782601,RNA-Seq,202,13062493216,PRJNA274140,SAMN03322773,8302013117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861659,GSM1598303,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598303,Human zygote (2PN),SRP053004,embryo
