Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,embryo_number,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,source_name,SRA Study
SRR5710358,RNA-Seq,202,62216,PRJNA392971,SAMN07252027,103319,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 5,SRX2930967,GSM2672044,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672044,Single cell,Human Embryo,SRP113531
SRR5710359,RNA-Seq,202,154530,PRJNA392971,SAMN07252026,143716,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 5,SRX2930968,GSM2672045,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672045,Single cell,Human Embryo,SRP113531
SRR5710360,RNA-Seq,202,3043352604,PRJNA392971,SAMN07252025,989815570,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 7,SRX2930969,GSM2672046,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672046,Single cell,Human Embryo,SRP113531
SRR5710361,RNA-Seq,202,3037516016,PRJNA392971,SAMN07252024,981641369,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 7,SRX2930970,GSM2672047,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672047,Single cell,Human Embryo,SRP113531
SRR5710362,RNA-Seq,202,4304352552,PRJNA392971,SAMN07252023,1734546560,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930971,GSM2672048,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672048,Single cell,Human Embryo,SRP113531
SRR5710363,RNA-Seq,202,3028066254,PRJNA392971,SAMN07252022,969322432,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930972,GSM2672049,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672049,Single cell,Human Embryo,SRP113531
SRR5710364,RNA-Seq,202,1603440448,PRJNA392971,SAMN07252021,518665025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930973,GSM2672050,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672050,Single cell,Human Embryo,SRP113531
SRR5710365,RNA-Seq,202,2705725764,PRJNA392971,SAMN07252020,878142428,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930974,GSM2672051,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672051,Single cell,Human Embryo,SRP113531
SRR5710366,RNA-Seq,202,3006695866,PRJNA392971,SAMN07252019,980845901,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930975,GSM2672052,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672052,Single cell,Human Embryo,SRP113531
SRR5710367,RNA-Seq,202,2346712376,PRJNA392971,SAMN07252018,942008385,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930976,GSM2672053,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672053,Single cell,Human Embryo,SRP113531
SRR5710368,RNA-Seq,202,2604453064,PRJNA392971,SAMN07252017,932693431,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930977,GSM2672054,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672054,Single cell,Human Embryo,SRP113531
SRR5710369,RNA-Seq,202,3290467486,PRJNA392971,SAMN07252016,1070440386,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 5,SRX2930978,GSM2672055,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672055,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710370,RNA-Seq,202,3068125682,PRJNA392971,SAMN07252015,1105635162,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 5,SRX2930979,GSM2672056,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672056,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710371,RNA-Seq,202,3326536000,PRJNA392971,SAMN07252014,1372653759,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 7,SRX2930980,GSM2672057,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672057,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710372,RNA-Seq,202,3177911066,PRJNA392971,SAMN07252013,1155191831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 7,SRX2930981,GSM2672058,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672058,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710373,RNA-Seq,202,3125177754,PRJNA392971,SAMN07252012,1022264117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930982,GSM2672059,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672059,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710374,RNA-Seq,202,2678363248,PRJNA392971,SAMN07252011,1103421167,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 8,SRX2930983,GSM2672060,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672060,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710375,RNA-Seq,202,3692610904,PRJNA392971,SAMN07252010,1345313263,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930984,GSM2672061,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672061,SIngle cell,Human Embryo,SRP113531
SRR5710376,RNA-Seq,202,3368662090,PRJNA392971,SAMN07252111,1085844892,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930985,GSM2672062,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672062,Single cell,Human Embryo,SRP113531
SRR5710377,RNA-Seq,202,3625529330,PRJNA392971,SAMN07252110,1490661445,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930986,GSM2672063,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672063,Single cell,Human Embryo,SRP113531
SRR5710378,RNA-Seq,202,2901859078,PRJNA392971,SAMN07252009,1200715000,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930987,GSM2672064,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672064,Single cell,Human Embryo,SRP113531
SRR5710379,RNA-Seq,202,3546553996,PRJNA392971,SAMN07252041,1457161971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930988,GSM2672065,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672065,Single cell,Human Embryo,SRP113531
SRR5710380,RNA-Seq,202,3980539078,PRJNA392971,SAMN07252040,1426389642,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930989,GSM2672066,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672066,Single cell,Human Embryo,SRP113531
SRR5710381,RNA-Seq,202,2144884076,PRJNA392971,SAMN07252039,881341228,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930990,GSM2672067,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672067,Single cell,Human Embryo,SRP113531
SRR5710382,RNA-Seq,202,3225723052,PRJNA392971,SAMN07252038,1168681350,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930991,GSM2672068,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672068,Single cell,Human Embryo,SRP113531
SRR5710383,RNA-Seq,202,3597623636,PRJNA392971,SAMN07252037,1315185843,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930992,GSM2672069,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672069,Single cell,Human Embryo,SRP113531
SRR5710384,RNA-Seq,202,4009131774,PRJNA392971,SAMN07252109,1328765189,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930993,GSM2672070,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672070,Single cell,Human Embryo,SRP113531
SRR5710385,RNA-Seq,202,3534394,PRJNA392971,SAMN07252108,1605965,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930994,GSM2672071,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672071,Single cell,Human Embryo,SRP113531
SRR5710386,RNA-Seq,202,2678891276,PRJNA392971,SAMN07252107,1098826003,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930995,GSM2672072,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672072,Single cell,Human Embryo,SRP113531
SRR5710387,RNA-Seq,202,3483661094,PRJNA392971,SAMN07252106,1271601258,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930996,GSM2672073,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672073,Single cell,Human Embryo,SRP113531
SRR5710388,RNA-Seq,202,3486481216,PRJNA392971,SAMN07252105,1259337815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930997,GSM2672074,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672074,Single cell,Human Embryo,SRP113531
SRR5710389,RNA-Seq,202,2017177050,PRJNA392971,SAMN07252104,729995104,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930998,GSM2672075,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672075,Single cell,Human Embryo,SRP113531
SRR5710390,RNA-Seq,202,2376039948,PRJNA392971,SAMN07252103,969932476,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2930999,GSM2672076,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672076,Single cell,Human Embryo,SRP113531
SRR5710391,RNA-Seq,202,3485577468,PRJNA392971,SAMN07252102,1263911084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 12,SRX2931000,GSM2672077,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672077,Trophectoderm biopsy,Human Embryo,SRP113531
SRR5710392,RNA-Seq,202,3762762878,PRJNA392971,SAMN07252101,1275341840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931001,GSM2672078,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672078,Single cell,Human Embryo,SRP113531
SRR5710393,RNA-Seq,202,3057135064,PRJNA392971,SAMN07252100,1012313021,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931002,GSM2672079,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672079,Single cell,Human Embryo,SRP113531
SRR5710394,RNA-Seq,202,3616241370,PRJNA392971,SAMN07252099,1217805361,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931003,GSM2672080,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672080,Single cell,Human Embryo,SRP113531
SRR5710395,RNA-Seq,202,1658083670,PRJNA392971,SAMN07252098,554113680,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931004,GSM2672081,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672081,Single cell,Human Embryo,SRP113531
SRR5710396,RNA-Seq,202,2606195516,PRJNA392971,SAMN07252097,1076135867,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931005,GSM2672082,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672082,Single cell,Human Embryo,SRP113531
SRR5710397,RNA-Seq,202,2282426280,PRJNA392971,SAMN07252096,937247002,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931006,GSM2672083,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672083,Single cell,Human Embryo,SRP113531
SRR5710398,RNA-Seq,202,2434504000,PRJNA392971,SAMN07252095,1001124691,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931007,GSM2672084,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672084,Single cell,Human Embryo,SRP113531
SRR5710399,RNA-Seq,202,2684564850,PRJNA392971,SAMN07252094,1111070739,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931008,GSM2672085,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672085,Single cell,Human Embryo,SRP113531
SRR5710400,RNA-Seq,202,3698138230,PRJNA392971,SAMN07252093,1262209066,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931009,GSM2672086,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672086,Single cell,Human Embryo,SRP113531
SRR5710401,RNA-Seq,202,2688920576,PRJNA392971,SAMN07252092,1141801505,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931010,GSM2672087,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672087,Single cell,Human Embryo,SRP113531
SRR5710402,RNA-Seq,202,3622619520,PRJNA392971,SAMN07252090,1205656141,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931011,GSM2672088,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672088,Single cell,Human Embryo,SRP113531
SRR5710403,RNA-Seq,202,4091772196,PRJNA392971,SAMN07252089,1374938028,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931012,GSM2672089,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672089,Single cell,Human Embryo,SRP113531
SRR5710404,RNA-Seq,202,2537286448,PRJNA392971,SAMN07252088,1043743478,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931013,GSM2672090,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672090,Single cell,Human Embryo,SRP113531
SRR5710405,RNA-Seq,202,2939463398,PRJNA392971,SAMN07252087,979458236,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931014,GSM2672091,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672091,Single cell,Human Embryo,SRP113531
SRR5710406,RNA-Seq,202,2985468292,PRJNA392971,SAMN07252086,1201696967,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931015,GSM2672092,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672092,Single cell,Human Embryo,SRP113531
SRR5710407,RNA-Seq,202,3330678010,PRJNA392971,SAMN07252071,1114527753,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931016,GSM2672093,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672093,Single cell,Human Embryo,SRP113531
SRR5710408,RNA-Seq,202,3598756250,PRJNA392971,SAMN07252070,1200408072,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931017,GSM2672094,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672094,Single cell,Human Embryo,SRP113531
SRR5710409,RNA-Seq,202,2348818630,PRJNA392971,SAMN07252069,978253902,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 16,SRX2931018,GSM2672095,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672095,Single cell,Human Embryo,SRP113531
SRR5710410,RNA-Seq,202,2598192276,PRJNA392971,SAMN07252068,1058932258,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,CRISPR 24,SRX2931019,GSM2672096,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672096,Single cell,Human Embryo,SRP113531
