Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Developmental_stage,Tissue,treated_with,Development_stage,Cell_type
SRR6501973,ATAC-seq,250,14328802000,PRJNA394846,SAMN08378449,6968012777,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590804,GSM2942346,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942346,Preimplantation embryo,SRP112718,8-cell,human embryo,a-amanitin,,
SRR6501974,ATAC-seq,250,8284982500,PRJNA394846,SAMN08378448,3902257105,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590805,GSM2942347,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942347,Human_zygote_3PN_ATAC-seq,SRP112718,zygote,human embryo,,,
SRR5878328,ATAC-seq,202,1411352184,PRJNA394846,SAMN07422273,691563311,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3045631,GSM2721904,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2721904,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5878329,ATAC-seq,300,13472415000,PRJNA394846,SAMN07422273,6217702228,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3045631,GSM2721904,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2721904,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5878330,ATAC-seq,202,1152306576,PRJNA394846,SAMN07422274,564732001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3045632,GSM2721905,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2721905,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837315,ATAC-seq,200,5720684400,PRJNA394846,SAMN07361140,3989988911,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013845,GSM2706219,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706219,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837316,ATAC-seq,300,8464903800,PRJNA394846,SAMN07361140,3689253414,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013845,GSM2706219,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706219,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837317,ATAC-seq,250,18617415000,PRJNA394846,SAMN07361139,8363700381,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013846,GSM2706220,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706220,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837318,ATAC-seq,300,40917367800,PRJNA394846,SAMN07361139,17105942274,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013846,GSM2706220,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706220,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837319,ATAC-seq,250,13116244750,PRJNA394846,SAMN07361138,6714485380,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013847,GSM2706221,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706221,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837320,ATAC-seq,300,11235281400,PRJNA394846,SAMN07361138,4732415132,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013847,GSM2706221,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706221,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837323,ATAC-seq,300,32168157900,PRJNA394846,SAMN07361137,13717186911,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013848,GSM2706222,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706222,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837324,ATAC-seq,250,9555330250,PRJNA394846,SAMN07361136,5059607724,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013849,GSM2706223,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706223,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837325,ATAC-seq,300,2706057000,PRJNA394846,SAMN07361136,1201850117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013849,GSM2706223,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706223,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837326,ATAC-seq,200,7160215000,PRJNA394846,SAMN07361135,4903693371,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013850,GSM2706224,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706224,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837327,ATAC-seq,200,7261167000,PRJNA394846,SAMN07361135,4969052332,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013850,GSM2706224,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706224,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837328,ATAC-seq,300,10028289300,PRJNA394846,SAMN07361135,4412643776,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013850,GSM2706224,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706224,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837329,ATAC-seq,250,12056319250,PRJNA394846,SAMN07361134,6312569711,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013851,GSM2706225,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706225,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837330,ATAC-seq,300,5235105000,PRJNA394846,SAMN07361134,2331091801,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013851,GSM2706225,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706225,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837331,ATAC-seq,250,10079848250,PRJNA394846,SAMN07361133,5261034723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013852,GSM2706226,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706226,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837332,ATAC-seq,300,9332208900,PRJNA394846,SAMN07361133,4131791672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013852,GSM2706226,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706226,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837333,ATAC-seq,250,16666758000,PRJNA394846,SAMN07361132,9317017751,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013853,GSM2706227,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706227,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837334,ATAC-seq,300,20086094400,PRJNA394846,SAMN07361132,8582359722,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013853,GSM2706227,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706227,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837335,ATAC-seq,250,19712761250,PRJNA394846,SAMN07361131,11068111610,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013854,GSM2706228,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706228,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837336,ATAC-seq,300,26463774600,PRJNA394846,SAMN07361131,11119478269,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013854,GSM2706228,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706228,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837337,ATAC-seq,250,11680754750,PRJNA394846,SAMN07361130,6464833492,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013855,GSM2706229,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706229,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837338,ATAC-seq,300,24159722100,PRJNA394846,SAMN07361130,9732707992,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013855,GSM2706229,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706229,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837339,ATAC-seq,250,20906052500,PRJNA394846,SAMN07361129,9585685183,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013856,GSM2706230,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706230,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837340,ATAC-seq,202,1367025708,PRJNA394846,SAMN07361129,587195640,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013856,GSM2706230,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706230,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837341,ATAC-seq,202,6766435410,PRJNA394846,SAMN07361129,3162179766,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013856,GSM2706230,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706230,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837342,ATAC-seq,300,3623310300,PRJNA394846,SAMN07361128,1501428532,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013857,GSM2706231,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706231,Preimplantation embryo,SRP112718,Embryonic stem cell,,,,
SRR5837343,ATAC-seq,252,1653293628,PRJNA394846,SAMN07361128,835266660,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013857,GSM2706231,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706231,Preimplantation embryo,SRP112718,Embryonic stem cell,,,,
SRR5837344,ATAC-seq,300,12657831600,PRJNA394846,SAMN07361127,5380257792,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013858,GSM2706232,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706232,Preimplantation embryo,SRP112718,Embryonic stem cell,,,,
SRR5837345,RNA-Seq,250,5715002750,PRJNA394846,SAMN07361126,2422036341,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013859,GSM2706233,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706233,Preimplantation embryo,SRP112718,GV oocyte,,,,
SRR5837346,RNA-Seq,250,5763541750,PRJNA394846,SAMN07361172,2543548238,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013860,GSM2706234,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706234,Preimplantation embryo,SRP112718,GV oocyte,,,,
SRR5837347,RNA-Seq,250,5690100500,PRJNA394846,SAMN07361171,2398616560,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013861,GSM2706235,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706235,Preimplantation embryo,SRP112718,MII oocyte,,,,
SRR5837348,RNA-Seq,250,6646400750,PRJNA394846,SAMN07361170,2863101299,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013862,GSM2706236,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706236,Preimplantation embryo,SRP112718,MII oocyte,,,,
SRR5837349,RNA-Seq,200,4379896400,PRJNA394846,SAMN07361169,3062591398,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013863,GSM2706237,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706237,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837350,RNA-Seq,200,4475287200,PRJNA394846,SAMN07361169,3133013960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013863,GSM2706237,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706237,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837351,RNA-Seq,200,3631092400,PRJNA394846,SAMN07361168,2552514316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013864,GSM2706238,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706238,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837352,RNA-Seq,200,3730320400,PRJNA394846,SAMN07361168,2624063535,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013864,GSM2706238,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706238,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837353,RNA-Seq,250,6648811750,PRJNA394846,SAMN07361167,3549640728,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013865,GSM2706239,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706239,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837354,RNA-Seq,250,4599867500,PRJNA394846,SAMN07361166,2486820068,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013866,GSM2706240,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706240,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837355,RNA-Seq,200,3861637800,PRJNA394846,SAMN07361125,2727243731,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013867,GSM2706241,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706241,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837356,RNA-Seq,200,3972386200,PRJNA394846,SAMN07361125,2807471099,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013867,GSM2706241,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706241,Preimplantation embryo,SRP112718,4-cell,,,,
SRR5837357,RNA-Seq,250,2395511000,PRJNA394846,SAMN07361124,1291102031,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013868,GSM2706242,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706242,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837358,RNA-Seq,250,3735242500,PRJNA394846,SAMN07361165,2009361254,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013869,GSM2706243,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706243,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837359,RNA-Seq,200,2703061600,PRJNA394846,SAMN07361164,2005303303,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013870,GSM2706244,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706244,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837360,RNA-Seq,200,3205776800,PRJNA394846,SAMN07361164,2386013450,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013870,GSM2706244,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706244,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837361,RNA-Seq,200,2672004200,PRJNA394846,SAMN07361163,1854015776,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013871,GSM2706245,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706245,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837362,RNA-Seq,200,2717217000,PRJNA394846,SAMN07361163,1894480060,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013871,GSM2706245,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706245,Preimplantation embryo,SRP112718,ICM,,,,
SRR5837367,ATAC-seq,300,21876973500,PRJNA394846,SAMN07361160,9082433294,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013874,GSM2706248,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706248,Preimplantation embryo,SRP112718,Arrest 2-cell,,,,
SRR5837368,ATAC-seq,300,25259625000,PRJNA394846,SAMN07361159,10552235308,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013875,GSM2706249,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706249,Preimplantation embryo,SRP112718,Arrest 2-cell,,,,
SRR5837378,ATAC-seq,101,916336438,PRJNA394846,SAMN07361152,402744672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013882,GSM2706256,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706256,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837379,ATAC-seq,202,1388231062,PRJNA394846,SAMN07361152,629351259,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013882,GSM2706256,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706256,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
