Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,development_day,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Stage
SRR8483433,RNA-Seq,300,1103196900,PRJNA516921,SAMN10815414,476952972,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288703,GSM3578658,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578658,trophoblasts,SRP181926,implantation
SRR8483434,RNA-Seq,300,1475843700,PRJNA516921,SAMN10815413,632630198,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288704,GSM3578659,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578659,trophoblasts,SRP181926,implantation
SRR8483435,RNA-Seq,300,795058200,PRJNA516921,SAMN10815412,352294602,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288705,GSM3578660,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578660,trophoblasts,SRP181926,implantation
SRR8483436,RNA-Seq,300,1272489000,PRJNA516921,SAMN10815321,565926267,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288706,GSM3578661,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578661,trophoblasts,SRP181926,implantation
SRR8483437,RNA-Seq,300,1310322000,PRJNA516921,SAMN10815320,577251097,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288707,GSM3578662,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578662,trophoblasts,SRP181926,implantation
SRR8483438,RNA-Seq,300,901346400,PRJNA516921,SAMN10815319,401594906,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288708,GSM3578663,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578663,trophoblasts,SRP181926,implantation
SRR8483439,RNA-Seq,300,793668600,PRJNA516921,SAMN10815318,350405252,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288709,GSM3578664,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578664,trophoblasts,SRP181926,implantation
SRR8483440,RNA-Seq,300,924315300,PRJNA516921,SAMN10815317,409358483,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288710,GSM3578665,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578665,trophoblasts,SRP181926,implantation
SRR8483441,RNA-Seq,300,1399179600,PRJNA516921,SAMN10815316,612048112,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288711,GSM3578666,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578666,trophoblasts,SRP181926,implantation
SRR8483442,RNA-Seq,300,1095271800,PRJNA516921,SAMN10815315,471767506,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288712,GSM3578667,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578667,trophoblasts,SRP181926,implantation
SRR8483443,RNA-Seq,300,525366600,PRJNA516921,SAMN10815314,227359414,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288713,GSM3578668,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578668,trophoblasts,SRP181926,implantation
SRR8483444,RNA-Seq,300,1402700100,PRJNA516921,SAMN10815313,607164657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288714,GSM3578669,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578669,trophoblasts,SRP181926,implantation
SRR8483445,RNA-Seq,300,1113127500,PRJNA516921,SAMN10815312,481767941,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288715,GSM3578670,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578670,trophoblasts,SRP181926,implantation
SRR8483446,RNA-Seq,300,1386839100,PRJNA516921,SAMN10815311,607402050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288716,GSM3578671,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578671,trophoblasts,SRP181926,implantation
SRR8483447,RNA-Seq,300,790438800,PRJNA516921,SAMN10815310,346493875,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288717,GSM3578672,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578672,trophoblasts,SRP181926,implantation
SRR8483448,RNA-Seq,300,1195968000,PRJNA516921,SAMN10815309,527666397,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288718,GSM3578673,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578673,trophoblasts,SRP181926,implantation
SRR8483449,RNA-Seq,300,466871700,PRJNA516921,SAMN10815308,207208093,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288719,GSM3578674,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578674,trophoblasts,SRP181926,implantation
SRR8483450,RNA-Seq,300,1845844200,PRJNA516921,SAMN10815307,803559895,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288720,GSM3578675,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578675,trophoblasts,SRP181926,implantation
SRR8483451,RNA-Seq,300,1517332500,PRJNA516921,SAMN10815306,660958358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288721,GSM3578676,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578676,trophoblasts,SRP181926,implantation
SRR8483452,RNA-Seq,300,521555700,PRJNA516921,SAMN10815305,230939112,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288722,GSM3578677,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578677,trophoblasts,SRP181926,implantation
SRR8483453,RNA-Seq,300,903751800,PRJNA516921,SAMN10815304,398977455,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288723,GSM3578678,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578678,trophoblasts,SRP181926,implantation
SRR8483454,RNA-Seq,300,1016400300,PRJNA516921,SAMN10815303,448798107,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288724,GSM3578679,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578679,trophoblasts,SRP181926,implantation
SRR8483455,RNA-Seq,300,1852179000,PRJNA516921,SAMN10815302,810529138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288725,GSM3578680,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578680,trophoblasts,SRP181926,implantation
SRR8483456,RNA-Seq,300,2342819400,PRJNA516921,SAMN10815301,1007316951,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288726,GSM3578681,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578681,trophoblasts,SRP181926,implantation
SRR8483457,RNA-Seq,300,1259663100,PRJNA516921,SAMN10815369,542367543,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288727,GSM3578682,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578682,trophoblasts,SRP181926,implantation
SRR8483458,RNA-Seq,300,602475600,PRJNA516921,SAMN10815368,264739987,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288728,GSM3578683,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578683,trophoblasts,SRP181926,implantation
SRR8483459,RNA-Seq,300,321051000,PRJNA516921,SAMN10815367,142751843,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288729,GSM3578684,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578684,trophoblasts,SRP181926,implantation
SRR8483460,RNA-Seq,300,436169400,PRJNA516921,SAMN10815366,192569971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288730,GSM3578685,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578685,trophoblasts,SRP181926,implantation
SRR8483461,RNA-Seq,300,879390600,PRJNA516921,SAMN10815365,386622405,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288731,GSM3578686,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578686,trophoblasts,SRP181926,implantation
SRR8483462,RNA-Seq,300,501221400,PRJNA516921,SAMN10815364,226304761,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288732,GSM3578687,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578687,trophoblasts,SRP181926,implantation
SRR8483463,RNA-Seq,300,518373300,PRJNA516921,SAMN10815363,229200995,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288733,GSM3578688,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578688,trophoblasts,SRP181926,implantation
SRR8483464,RNA-Seq,300,604347600,PRJNA516921,SAMN10815362,270211370,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288734,GSM3578689,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578689,trophoblasts,SRP181926,implantation
SRR8483465,RNA-Seq,300,751134000,PRJNA516921,SAMN10815361,332031487,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288735,GSM3578690,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578690,trophoblasts,SRP181926,implantation
SRR8483466,RNA-Seq,300,906885600,PRJNA516921,SAMN10815473,400958782,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288736,GSM3578691,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578691,trophoblasts,SRP181926,implantation
SRR8483467,RNA-Seq,300,1862093400,PRJNA516921,SAMN10815472,771976876,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288737,GSM3578692,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578692,trophoblasts,SRP181926,implantation
SRR8483468,RNA-Seq,300,754951500,PRJNA516921,SAMN10815470,314765077,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288738,GSM3578693,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578693,trophoblasts,SRP181926,implantation
SRR8483469,RNA-Seq,300,1315602300,PRJNA516921,SAMN10815471,553271537,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288739,GSM3578694,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578694,trophoblasts,SRP181926,implantation
SRR8483470,RNA-Seq,300,977467500,PRJNA516921,SAMN10815526,423993539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288740,GSM3578695,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578695,trophoblasts,SRP181926,implantation
SRR8483471,RNA-Seq,300,1344729600,PRJNA516921,SAMN10815525,562450022,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288741,GSM3578696,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578696,trophoblasts,SRP181926,implantation
SRR8483472,RNA-Seq,300,1162497600,PRJNA516921,SAMN10815524,483754094,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288742,GSM3578697,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578697,trophoblasts,SRP181926,implantation
SRR8483473,RNA-Seq,300,1824560400,PRJNA516921,SAMN10815523,773570140,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288743,GSM3578698,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578698,trophoblasts,SRP181926,implantation
SRR8483474,RNA-Seq,300,1176901800,PRJNA516921,SAMN10815522,499410552,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288744,GSM3578699,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578699,trophoblasts,SRP181926,implantation
SRR8483475,RNA-Seq,300,1154729700,PRJNA516921,SAMN10815521,477720766,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288745,GSM3578700,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578700,trophoblasts,SRP181926,implantation
SRR8483476,RNA-Seq,300,914795700,PRJNA516921,SAMN10815520,394095132,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288746,GSM3578701,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578701,trophoblasts,SRP181926,implantation
SRR8483477,RNA-Seq,300,269200800,PRJNA516921,SAMN10815519,115334037,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288747,GSM3578702,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578702,trophoblasts,SRP181926,implantation
SRR8483478,RNA-Seq,300,703321800,PRJNA516921,SAMN10815518,304042007,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288748,GSM3578703,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578703,trophoblasts,SRP181926,implantation
SRR8483479,RNA-Seq,300,1124985900,PRJNA516921,SAMN10815517,480550174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288749,GSM3578704,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578704,trophoblasts,SRP181926,implantation
SRR8483480,RNA-Seq,300,1352123400,PRJNA516921,SAMN10815516,582660832,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288750,GSM3578705,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578705,trophoblasts,SRP181926,implantation
SRR8483481,RNA-Seq,300,1865392500,PRJNA516921,SAMN10815515,802543679,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288751,GSM3578706,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578706,trophoblasts,SRP181926,implantation
SRR8483482,RNA-Seq,300,1972961400,PRJNA516921,SAMN10815514,833430133,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288752,GSM3578707,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578707,trophoblasts,SRP181926,implantation
SRR8483483,RNA-Seq,300,2469449700,PRJNA516921,SAMN10815513,1043883622,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288753,GSM3578708,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578708,trophoblasts,SRP181926,implantation
SRR8483484,RNA-Seq,300,1562049600,PRJNA516921,SAMN10815512,648158005,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288754,GSM3578709,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578709,trophoblasts,SRP181926,implantation
SRR8483485,RNA-Seq,300,1060264500,PRJNA516921,SAMN10815511,443613032,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288755,GSM3578710,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578710,trophoblasts,SRP181926,implantation
SRR8483486,RNA-Seq,300,3151366800,PRJNA516921,SAMN10815510,1320199974,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288756,GSM3578711,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578711,trophoblasts,SRP181926,implantation
