Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time
SRR8952810,RNA-Seq,202,1637946492,PRJNA534673,SAMN11492824,653180357,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732643,GSM3735413,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735413,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952703,RNA-Seq,300,2616692400,PRJNA534673,SAMN11492895,1113700242,trophoblast cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732536,GSM3735306,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735306,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952731,RNA-Seq,202,2051387972,PRJNA534673,SAMN11492929,791121619,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732564,GSM3735334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735334,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952743,RNA-Seq,300,2740112100,PRJNA534673,SAMN11492813,1136533804,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732576,GSM3735346,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735346,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952744,RNA-Seq,300,2224998000,PRJNA534673,SAMN11492812,937762663,trophoblast cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732577,GSM3735347,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735347,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952761,RNA-Seq,202,1640158392,PRJNA534673,SAMN11492884,642996063,trophoblast cells,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5732594,GSM3735364,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735364,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952803,RNA-Seq,300,2379035700,PRJNA534673,SAMN11492831,999100036,trophoblast cells,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732636,GSM3735406,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735406,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952750,RNA-Seq,300,2553508800,PRJNA534673,SAMN11492806,1082277683,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX5732583,GSM3735353,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735353,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952760,RNA-Seq,202,1433082940,PRJNA534673,SAMN11492885,564218037,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732593,GSM3735363,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735363,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952765,RNA-Seq,202,1703506804,PRJNA534673,SAMN11492881,666034528,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732598,GSM3735368,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735368,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952780,RNA-Seq,300,2915965500,PRJNA534673,SAMN11492866,1231797653,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732613,GSM3735383,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735383,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952784,RNA-Seq,300,2630244600,PRJNA534673,SAMN11492862,1105927827,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732617,GSM3735387,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735387,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952834,RNA-Seq,202,940370196,PRJNA534673,SAMN11492904,366540206,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5732667,GSM3735437,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735437,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952725,RNA-Seq,202,1030599758,PRJNA534673,SAMN11492843,399302852,trophoblast cells,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732558,GSM3735328,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735328,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952735,RNA-Seq,202,1417917184,PRJNA534673,SAMN11492925,559532383,trophoblast cells,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5732568,GSM3735338,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735338,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952738,RNA-Seq,202,1002934646,PRJNA534673,SAMN11492922,404574768,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732571,GSM3735341,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735341,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952755,RNA-Seq,202,1469359312,PRJNA534673,SAMN11492801,584315193,trophoblast cells,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5732588,GSM3735358,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735358,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952764,RNA-Seq,202,1445440492,PRJNA534673,SAMN11492882,570971228,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732597,GSM3735367,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735367,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952801,RNA-Seq,300,2394732300,PRJNA534673,SAMN11492833,1010923052,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732634,GSM3735404,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735404,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952815,RNA-Seq,202,1209829712,PRJNA534673,SAMN11492819,473201970,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732648,GSM3735418,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735418,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952823,RNA-Seq,202,1540700258,PRJNA534673,SAMN11492816,605339580,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732656,GSM3735426,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735426,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952838,RNA-Seq,202,1398922922,PRJNA534673,SAMN11492900,535963227,trophoblast cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5732671,GSM3735441,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735441,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952710,RNA-Seq,202,299286028,PRJNA534673,SAMN11492888,116572619,trophoblast cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732543,GSM3735313,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735313,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952733,RNA-Seq,202,1299517106,PRJNA534673,SAMN11492927,516075342,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732566,GSM3735336,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735336,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952779,RNA-Seq,300,2751079800,PRJNA534673,SAMN11492867,1150688999,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732612,GSM3735382,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735382,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952793,RNA-Seq,300,2463095400,PRJNA534673,SAMN11492841,1056881624,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732626,GSM3735396,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735396,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952819,RNA-Seq,202,696341268,PRJNA534673,SAMN11492916,271592574,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732652,GSM3735422,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735422,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952728,RNA-Seq,202,1397931102,PRJNA534673,SAMN11492932,542771728,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732561,GSM3735331,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735331,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952732,RNA-Seq,202,2638895882,PRJNA534673,SAMN11492928,1012361711,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732565,GSM3735335,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735335,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952737,RNA-Seq,202,1071890578,PRJNA534673,SAMN11492923,426359880,trophoblast cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732570,GSM3735340,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735340,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952769,RNA-Seq,202,1249871970,PRJNA534673,SAMN11492877,494246470,trophoblast cells,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5732602,GSM3735372,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735372,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952777,RNA-Seq,300,1680967800,PRJNA534673,SAMN11492869,726675709,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732610,GSM3735380,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735380,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952818,RNA-Seq,202,1519669634,PRJNA534673,SAMN11492917,585002464,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732651,GSM3735421,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735421,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952716,RNA-Seq,202,1276674138,PRJNA534673,SAMN11492852,513483758,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732549,GSM3735319,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735319,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952745,RNA-Seq,300,2678428500,PRJNA534673,SAMN11492811,1133501135,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732578,GSM3735348,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735348,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952831,RNA-Seq,202,1360509390,PRJNA534673,SAMN11492907,526564745,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732664,GSM3735434,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735434,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952772,RNA-Seq,202,1544190010,PRJNA534673,SAMN11492874,607921798,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732605,GSM3735375,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735375,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952794,RNA-Seq,300,3051510900,PRJNA534673,SAMN11492840,1301411420,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5732627,GSM3735397,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735397,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952795,RNA-Seq,300,2699292600,PRJNA534673,SAMN11492839,1134832217,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5732628,GSM3735398,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735398,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952796,RNA-Seq,300,2838142500,PRJNA534673,SAMN11492838,1196936042,trophoblast cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732629,GSM3735399,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735399,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952797,RNA-Seq,300,2307352200,PRJNA534673,SAMN11492837,977703316,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732630,GSM3735400,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735400,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952800,RNA-Seq,300,1477473900,PRJNA534673,SAMN11492834,625462849,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732633,GSM3735403,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735403,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952829,RNA-Seq,202,1373751702,PRJNA534673,SAMN11492909,536409224,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5732662,GSM3735432,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735432,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952718,RNA-Seq,202,1486540826,PRJNA534673,SAMN11492850,594207100,trophoblast cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5732551,GSM3735321,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735321,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952720,RNA-Seq,202,1245626536,PRJNA534673,SAMN11492848,497580727,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732553,GSM3735323,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735323,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952751,RNA-Seq,202,1300226328,PRJNA534673,SAMN11492805,515881698,trophoblast cells,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732584,GSM3735354,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735354,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952753,RNA-Seq,202,1750305760,PRJNA534673,SAMN11492803,689430422,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732586,GSM3735356,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735356,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952704,RNA-Seq,300,2993870100,PRJNA534673,SAMN11492894,1258143012,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732537,GSM3735307,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735307,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952722,RNA-Seq,202,1095415498,PRJNA534673,SAMN11492846,456529288,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732555,GSM3735325,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735325,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952742,RNA-Seq,300,2494833300,PRJNA534673,SAMN11492918,1040961500,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5732575,GSM3735345,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735345,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952752,RNA-Seq,202,1529242616,PRJNA534673,SAMN11492804,604134919,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5732585,GSM3735355,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735355,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952787,RNA-Seq,300,2402004600,PRJNA534673,SAMN11492859,1009002793,trophoblast cells,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5732620,GSM3735390,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735390,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952788,RNA-Seq,300,2475210300,PRJNA534673,SAMN11492858,1046583921,trophoblast cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5732621,GSM3735391,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735391,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952812,RNA-Seq,202,1092321262,PRJNA534673,SAMN11492822,425457946,trophoblast cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732645,GSM3735415,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735415,trophoblast cells,SRP193790,Day 8 (Extended culture)
