Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,tissue_source
SRR8569922,RNA-Seq,300,31660664400,PRJNA431392,SAMN10923920,16064073966,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371226,GSM3602379,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602379,tri-vol-d8-180622N,SRP131258,in vitro cultured post-implantation embryo,
SRR8569923,RNA-Seq,300,72833697000,PRJNA431392,SAMN10923919,36982256825,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371227,GSM3602380,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602380,tri-vol-d8-180622O,SRP131258,in vitro cultured post-implantation embryo,
SRR8569928,RNA-Seq,300,60727083000,PRJNA431392,SAMN10923914,31003160738,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371232,GSM3602385,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602385,tri-vol-d8-180622T,SRP131258,in vitro cultured post-implantation embryo,
SRR8569930,RNA-Seq,300,56396964000,PRJNA431392,SAMN10923912,28483554762,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371234,GSM3602387,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602387,tri-vol-d8-181015S,SRP131258,in vitro cultured post-implantation embryo,
SRR6506262,RNA-Seq,300,48294238500,PRJNA431392,SAMN08390496,24209506722,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594845,GSM2946193,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946193,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506263,RNA-Seq,300,44495331900,PRJNA431392,SAMN08390495,22718886229,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594846,GSM2946194,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946194,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506264,RNA-Seq,300,47303948700,PRJNA431392,SAMN08390494,24211850666,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594847,GSM2946195,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946195,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506265,RNA-Seq,300,52353058200,PRJNA431392,SAMN08390493,26382542783,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594848,GSM2946196,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946196,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506266,RNA-Seq,300,62028559500,PRJNA431392,SAMN08390492,29847145111,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594849,GSM2946197,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946197,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506267,RNA-Seq,300,57850725000,PRJNA431392,SAMN08390491,27963800973,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594850,GSM2946198,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946198,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506269,RNA-Seq,300,48668072100,PRJNA431392,SAMN08390489,24592112137,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594852,GSM2946200,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946200,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506270,RNA-Seq,300,55529091300,PRJNA431392,SAMN08390488,26832215729,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594853,GSM2946201,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946201,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506271,RNA-Seq,300,54020731200,PRJNA431392,SAMN08390487,26281786876,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594854,GSM2946202,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946202,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506273,RNA-Seq,300,58656692100,PRJNA431392,SAMN08390485,28739693207,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594856,GSM2946204,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946204,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506274,RNA-Seq,300,46936009800,PRJNA431392,SAMN08390484,23343182183,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594857,GSM2946205,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946205,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506277,RNA-Seq,300,65885990700,PRJNA431392,SAMN08390481,31714406579,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594860,GSM2946208,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946208,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506278,RNA-Seq,300,54990944400,PRJNA431392,SAMN08390480,27134330046,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594861,GSM2946209,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946209,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506279,RNA-Seq,300,55229494800,PRJNA431392,SAMN08390479,27885104915,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594862,GSM2946210,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946210,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506282,RNA-Seq,300,58002788700,PRJNA431392,SAMN08390476,27966557235,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594865,GSM2946213,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946213,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506283,RNA-Seq,300,48032108100,PRJNA431392,SAMN08390475,23866221687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594866,GSM2946214,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946214,fresh embryo from IVF,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from IVF
SRR6506284,RNA-Seq,300,63520380600,PRJNA431392,SAMN08390474,28465957146,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594867,GSM2946215,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946215,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506285,RNA-Seq,300,71629200900,PRJNA431392,SAMN08390407,29434639159,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594868,GSM2946216,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946216,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506287,RNA-Seq,300,62495850300,PRJNA431392,SAMN08390497,30030577385,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594870,GSM2946218,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946218,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506290,RNA-Seq,300,55240332900,PRJNA431392,SAMN08390449,26478213725,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594873,GSM2946221,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946221,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506291,RNA-Seq,300,69330525900,PRJNA431392,SAMN08390451,34153556483,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594874,GSM2946222,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946222,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506292,RNA-Seq,300,61893258000,PRJNA431392,SAMN08390448,31124002812,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594875,GSM2946223,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946223,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506294,RNA-Seq,300,57339096000,PRJNA431392,SAMN08390446,27875473256,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594877,GSM2946225,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946225,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506295,RNA-Seq,300,54017854800,PRJNA431392,SAMN08390445,24350943270,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594878,GSM2946226,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946226,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506296,RNA-Seq,300,60843270900,PRJNA431392,SAMN08390444,28093198110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594879,GSM2946227,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946227,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506300,RNA-Seq,300,55439615400,PRJNA431392,SAMN08390440,27729868490,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594883,GSM2946231,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946231,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506301,RNA-Seq,300,61871819700,PRJNA431392,SAMN08390439,30861200044,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594884,GSM2946232,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946232,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506302,RNA-Seq,300,54160363800,PRJNA431392,SAMN08390438,27340931618,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594885,GSM2946233,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946233,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506303,RNA-Seq,300,61879857900,PRJNA431392,SAMN08390405,30483106688,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594886,GSM2946234,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946234,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506305,RNA-Seq,300,38672175600,PRJNA431392,SAMN08390436,18848343711,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594888,GSM2946236,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946236,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506306,RNA-Seq,300,63800791800,PRJNA431392,SAMN08390435,31585133621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594889,GSM2946237,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946237,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506307,RNA-Seq,300,59289804600,PRJNA431392,SAMN08390434,29542246144,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594890,GSM2946238,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946238,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506308,RNA-Seq,300,83849501400,PRJNA431392,SAMN08390433,40623234569,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594891,GSM2946239,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946239,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506309,RNA-Seq,300,63168777900,PRJNA431392,SAMN08390432,31259388387,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594892,GSM2946240,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946240,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506310,RNA-Seq,300,53892631200,PRJNA431392,SAMN08390431,25318936832,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594893,GSM2946241,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946241,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506311,RNA-Seq,300,65493709200,PRJNA431392,SAMN08390430,31532466126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594894,GSM2946242,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946242,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506312,RNA-Seq,300,44598569700,PRJNA431392,SAMN08390429,22329243620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594895,GSM2946243,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946243,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506313,RNA-Seq,300,50214243900,PRJNA431392,SAMN08390428,25281268127,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594896,GSM2946244,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946244,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506314,RNA-Seq,300,78785550300,PRJNA431392,SAMN08390427,38831013768,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594897,GSM2946245,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946245,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506316,RNA-Seq,300,65240671500,PRJNA431392,SAMN08390425,30083540033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594899,GSM2946247,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946247,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506317,RNA-Seq,300,50392101300,PRJNA431392,SAMN08390424,24149204404,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594900,GSM2946248,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946248,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506318,RNA-Seq,300,53383245000,PRJNA431392,SAMN08390423,25707171397,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594901,GSM2946249,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946249,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506319,RNA-Seq,300,59995882800,PRJNA431392,SAMN08390422,28858315712,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594902,GSM2946250,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946250,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506320,RNA-Seq,300,45749935200,PRJNA431392,SAMN08390421,21381598174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594903,GSM2946251,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946251,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506321,RNA-Seq,300,48335040000,PRJNA431392,SAMN08390414,22888766486,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594904,GSM2946252,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946252,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506322,RNA-Seq,300,55431386400,PRJNA431392,SAMN08390420,25877409700,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594905,GSM2946253,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946253,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
SRR6506323,RNA-Seq,300,49027611300,PRJNA431392,SAMN08390419,23092312833,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3594906,GSM2946254,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM2946254,fresh embryo from Volunteer,SRP131258,in vitro cultured post-implantation embryo,fresh embryo from Volunteer
