Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,ETHNICITY,supplementary_file,Strain,exome_capture
SRR893056,RNA-Seq,180,3533299380,PRJNA189204,SAMN02195151,2352846115,2-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300883,GSM1160122,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160122,2-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893057,RNA-Seq,180,3529526220,PRJNA189204,SAMN02195152,2436443329,4-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300884,GSM1160123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160123,4-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893058,RNA-Seq,180,3763003140,PRJNA189204,SAMN02195153,2527766500,4-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300885,GSM1160124,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160124,4-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893059,RNA-Seq,180,3636412020,PRJNA189204,SAMN02195154,2441328882,4-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300886,GSM1160125,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160125,4-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893060,RNA-Seq,180,4367536020,PRJNA189204,SAMN02195155,2923648615,4-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300887,GSM1160126,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160126,4-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893061,RNA-Seq,180,3512379960,PRJNA189204,SAMN02195156,2384631928,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300888,GSM1160127,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160127,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893062,RNA-Seq,180,3227466060,PRJNA189204,SAMN02195157,2186628113,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300889,GSM1160128,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160128,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893063,RNA-Seq,180,3366738540,PRJNA189204,SAMN02195158,2297585139,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300890,GSM1160129,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160129,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893064,RNA-Seq,98,2071347110,PRJNA189204,SAMN02195159,1444312976,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300891,GSM1160130,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160130,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893065,RNA-Seq,98,2128705432,PRJNA189204,SAMN02195160,1481470295,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300892,GSM1160131,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160131,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893066,RNA-Seq,98,2122432256,PRJNA189204,SAMN02195161,1496798593,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300893,GSM1160132,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160132,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893067,RNA-Seq,98,2036091806,PRJNA189204,SAMN02195162,1424839507,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300894,GSM1160133,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160133,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893068,RNA-Seq,98,1611565214,PRJNA189204,SAMN02195163,1132318455,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300895,GSM1160134,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160134,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893069,RNA-Seq,98,1356000030,PRJNA189204,SAMN02195164,944447514,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300896,GSM1160135,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160135,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893070,RNA-Seq,98,1430164568,PRJNA189204,SAMN02195165,988005764,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300897,GSM1160136,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160136,8-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893071,RNA-Seq,98,1475160386,PRJNA189204,SAMN02195166,1031706676,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300898,GSM1160137,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160137,8-cell embryo,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893072,RNA-Seq,180,2830356360,PRJNA189204,SAMN02195167,1941709816,morula,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300899,GSM1160138,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160138,morula,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893073,RNA-Seq,180,2943396180,PRJNA189204,SAMN02195168,1985559744,morula,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300900,GSM1160139,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160139,morula,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893074,RNA-Seq,180,3963642480,PRJNA189204,SAMN02195169,2741914630,morula,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300901,GSM1160140,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160140,morula,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR689233,RNA-Seq,180,2953430100,PRJNA189204,SAMN01915415,2077148410,oocyte,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229784,GSM1080195,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080195,oocyte,SRP018525,,,C57BL/6,
SRR689234,RNA-Seq,180,3644790300,PRJNA189204,SAMN01915416,2565323432,oocyte,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229785,GSM1080196,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080196,oocyte,SRP018525,,,C57BL/6,
SRR689235,RNA-Seq,180,3104366400,PRJNA189204,SAMN01915417,2178066664,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229786,GSM1080197,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080197,pronucleus,SRP018525,,,C57BL/6,
SRR689236,RNA-Seq,180,2296382400,PRJNA189204,SAMN01915418,1615610740,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229787,GSM1080198,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080198,pronucleus,SRP018525,,,C57BL/6,
SRR689237,RNA-Seq,180,2229969420,PRJNA189204,SAMN01915419,1565674306,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229788,GSM1080199,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080199,pronucleus,SRP018525,,,C57BL/6,
SRR689238,RNA-Seq,180,3828702240,PRJNA189204,SAMN01915420,2764415276,2-cell blastomere,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229789,GSM1080200,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080200,2-cell blastomere,SRP018525,,,C57BL/6,
SRR689239,RNA-Seq,180,5006591820,PRJNA189204,SAMN01915421,3604896293,2-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229790,GSM1080201,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080201,2-cell blastomere,SRP018525,,,C57BL/6,
SRR689240,RNA-Seq,180,2150306640,PRJNA189204,SAMN01915422,1571181695,2-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229791,GSM1080202,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080202,2-cell blastomere,SRP018525,,,C57BL/6,
SRR689241,RNA-Seq,180,4639118400,PRJNA189204,SAMN01915423,3375966587,4-cell blastomere,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229792,GSM1080203,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080203,4-cell blastomere,SRP018525,,,C57BL/6,
SRR689242,RNA-Seq,180,4169278080,PRJNA189204,SAMN01915424,3033706964,4-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229793,GSM1080204,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080204,4-cell blastomere,SRP018525,,,C57BL/6,
SRR689243,RNA-Seq,180,4996184220,PRJNA189204,SAMN01915425,3660115626,4-cell blastomere,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229794,GSM1080205,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080205,4-cell blastomere,SRP018525,,,C57BL/6,
SRR689244,RNA-Seq,180,5092013160,PRJNA189204,SAMN01915426,3707362163,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229795,GSM1080206,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080206,8-cell blastomere,SRP018525,,,C57BL/6,
SRR689245,RNA-Seq,180,4301116020,PRJNA189204,SAMN01915427,3134293282,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229796,GSM1080207,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080207,8-cell blastomere,SRP018525,,,C57BL/6,
SRR689246,RNA-Seq,180,1832178420,PRJNA189204,SAMN01915428,1332794780,8-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229797,GSM1080208,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080208,8-cell blastomere,SRP018525,,,C57BL/6,
SRR689247,RNA-Seq,180,3275770500,PRJNA189204,SAMN01915429,2308859809,morula,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229798,GSM1080209,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080209,morula,SRP018525,,,C57BL/6,
SRR689248,RNA-Seq,180,5008942620,PRJNA189204,SAMN01915430,3526501145,morula,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229799,GSM1080210,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080210,morula,SRP018525,,,C57BL/6,
SRR689249,RNA-Seq,180,2300866740,PRJNA189204,SAMN01915431,1628919959,morula,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229800,GSM1080211,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1080211,morula,SRP018525,,,C57BL/6,
SRR689250,OTHER,180,8573794920,PRJNA189204,SAMN01915432,6034115241,primary blood,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX229801,GSM1080212,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1080212,blood,SRP018525,,,,Agilent 50M kit was used to capture the genome
