Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8570185,RNA-Seq,202,2510611136,PRJNA522065,SAMN10924235,990471478,CH1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371489,GSM3602460,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602460,Human embryonic stem cell,SRP185781
SRR8570186,RNA-Seq,202,2645399878,PRJNA522065,SAMN10924234,1055230643,CH1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371490,GSM3602461,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602461,Human embryonic stem cell,SRP185781
SRR8570187,RNA-Seq,202,2739176964,PRJNA522065,SAMN10924233,1086231625,CH2,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371491,GSM3602462,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602462,Human embryonic stem cell,SRP185781
SRR8570188,RNA-Seq,202,3269750366,PRJNA522065,SAMN10924231,1293209808,CH2,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371492,GSM3602463,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602463,Human embryonic stem cell,SRP185781
SRR8570189,RNA-Seq,202,3015432770,PRJNA522065,SAMN10924230,1190312386,CH2,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371493,GSM3602464,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602464,Human embryonic stem cell,SRP185781
SRR8570190,RNA-Seq,202,2638755896,PRJNA522065,SAMN10924229,1049142581,CH2,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371494,GSM3602465,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602465,Human embryonic stem cell,SRP185781
SRR8570191,RNA-Seq,202,2712612752,PRJNA522065,SAMN10924228,1073856253,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371495,GSM3602466,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602466,Human embryonic stem cell,SRP185781
SRR8570192,RNA-Seq,202,3594842500,PRJNA522065,SAMN10924227,1428917578,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371496,GSM3602467,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602467,Human embryonic stem cell,SRP185781
SRR8570193,RNA-Seq,202,2384299930,PRJNA522065,SAMN10924226,944276955,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371497,GSM3602468,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602468,Human embryonic stem cell,SRP185781
SRR8570194,RNA-Seq,202,2536287962,PRJNA522065,SAMN10924225,1005057011,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371498,GSM3602469,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602469,Human embryonic stem cell,SRP185781
SRR10302047,RNA-Seq,202,3029373396,PRJNA522065,SAMN13049570,1230133411,CH3,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014724,GSM4127826,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127826,Human embryonic stem cell,SRP185781
SRR10302048,RNA-Seq,202,3171332330,PRJNA522065,SAMN13049569,1284359039,CH3,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014736,GSM4127827,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127827,Human embryonic stem cell,SRP185781
SRR10302049,RNA-Seq,202,4143826182,PRJNA522065,SAMN13049568,1683939113,CH3,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014737,GSM4127828,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127828,Human embryonic stem cell,SRP185781
SRR10302051,RNA-Seq,202,2974665332,PRJNA522065,SAMN13049566,1244424467,CH3,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014739,GSM4127830,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127830,Human embryonic stem cell,SRP185781
SRR10302052,RNA-Seq,202,2512263294,PRJNA522065,SAMN13049565,1029410941,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014740,GSM4127831,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127831,Human embryonic stem cell,SRP185781
SRR10302053,RNA-Seq,202,2697227018,PRJNA522065,SAMN13049564,1093512926,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014741,GSM4127832,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127832,Human embryonic stem cell,SRP185781
SRR10302054,RNA-Seq,202,3083206598,PRJNA522065,SAMN13049563,1251363096,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014742,GSM4127833,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127833,Human embryonic stem cell,SRP185781
SRR10302055,RNA-Seq,202,3240668628,PRJNA522065,SAMN13049562,1324379951,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014743,GSM4127834,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127834,Human embryonic stem cell,SRP185781
SRR10302056,RNA-Seq,202,1825414612,PRJNA522065,SAMN13049561,768299447,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014725,GSM4127835,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127835,Human embryonic stem cell,SRP185781
SRR10302057,RNA-Seq,202,2549331708,PRJNA522065,SAMN13049560,1065758928,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014726,GSM4127836,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127836,Human embryonic stem cell,SRP185781
SRR10302060,RNA-Seq,202,4853074038,PRJNA522065,SAMN13049557,1978519691,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014729,GSM4127839,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127839,Human embryonic stem cell,SRP185781
SRR10302062,RNA-Seq,202,3221504888,PRJNA522065,SAMN13049555,1296176071,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014731,GSM4127841,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127841,Human embryonic stem cell,SRP185781
SRR10302064,RNA-Seq,202,2983702408,PRJNA522065,SAMN13049553,1202117281,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014733,GSM4127843,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127843,Human embryonic stem cell,SRP185781
SRR10302065,RNA-Seq,202,2335950018,PRJNA522065,SAMN13049572,948997849,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014734,GSM4127844,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127844,Human embryonic stem cell,SRP185781
SRR10302063,RNA-Seq,202,2010675276,PRJNA522065,SAMN13049554,808938322,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014732,GSM4127842,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127842,Human embryonic stem cell,SRP185781
SRR10302050,RNA-Seq,202,3785612916,PRJNA522065,SAMN13049567,1550734030,CH3,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014738,GSM4127829,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127829,Human embryonic stem cell,SRP185781
SRR10302058,RNA-Seq,202,4316832314,PRJNA522065,SAMN13049559,1753787754,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014727,GSM4127837,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127837,Human embryonic stem cell,SRP185781
SRR10302061,RNA-Seq,202,2957250508,PRJNA522065,SAMN13049556,1210685709,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014730,GSM4127840,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127840,Human embryonic stem cell,SRP185781
SRR10302059,RNA-Seq,202,3287996622,PRJNA522065,SAMN13049558,1333291354,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014728,GSM4127838,mTeSR1 laminin,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127838,Human embryonic stem cell,SRP185781
SRR10302066,RNA-Seq,202,1888023098,PRJNA522065,SAMN13049571,782601629,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7014735,GSM4127845,mTeSR1,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM4127845,Human embryonic stem cell,SRP185781
