Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE,treatment_duration_mins,TREATMENT
SRR8689932,RNA-Seq,200,3932952200,PRJNA525835,SAMN11077900,1366407598,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485816,GSM3656833,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656833,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
SRR8689933,RNA-Seq,200,4413904600,PRJNA525835,SAMN11077900,1609361733,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485816,GSM3656833,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656833,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
SRR8689934,RNA-Seq,200,4377174600,PRJNA525835,SAMN11077936,1516092581,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485817,GSM3656834,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656834,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689935,RNA-Seq,200,4897112600,PRJNA525835,SAMN11077936,1780038432,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485817,GSM3656834,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656834,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689936,RNA-Seq,200,4476199200,PRJNA525835,SAMN11077930,1553801216,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485818,GSM3656835,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656835,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689937,RNA-Seq,200,5004725200,PRJNA525835,SAMN11077930,1823593394,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485818,GSM3656835,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656835,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689938,RNA-Seq,200,5019236000,PRJNA525835,SAMN11077929,1741945265,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485819,GSM3656836,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656836,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689939,RNA-Seq,200,5642378000,PRJNA525835,SAMN11077929,2056389107,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485819,GSM3656836,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656836,embryonic stem cells,SRP187735,embryonic stem cells,40,BMP4
SRR8689940,RNA-Seq,200,5624788400,PRJNA525835,SAMN11077928,1981211764,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485820,GSM3656837,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656837,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
SRR8689941,RNA-Seq,200,6159623600,PRJNA525835,SAMN11077928,2278116859,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485820,GSM3656837,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656837,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
SRR8689942,RNA-Seq,200,4239334600,PRJNA525835,SAMN11077927,1481876502,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485821,GSM3656838,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656838,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
SRR8689943,RNA-Seq,200,4691084600,PRJNA525835,SAMN11077927,1722543532,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485821,GSM3656838,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656838,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
SRR8689944,RNA-Seq,200,4495638200,PRJNA525835,SAMN11077926,1562980015,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485822,GSM3656839,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656839,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
SRR8689945,RNA-Seq,200,5034524800,PRJNA525835,SAMN11077926,1836238596,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485822,GSM3656839,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656839,embryonic stem cells,SRP187735,embryonic stem cells,60,BMP4
