Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,culture_media,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR6335133,RNA-Seq,300,8474070300,PRJNA420514,SAMN08114976,3166386684,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434260,GSM2871131,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871131,Primed H9,SRP125954
SRR6335134,RNA-Seq,300,7220137200,PRJNA420514,SAMN08114975,2696796953,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434261,GSM2871132,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871132,Primed H9,SRP125954
SRR6335135,RNA-Seq,300,8091834600,PRJNA420514,SAMN08114974,3043910016,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434262,GSM2871133,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871133,Day 3 reset H9,SRP125954
SRR6335136,RNA-Seq,300,7515400800,PRJNA420514,SAMN08114965,2819380320,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434263,GSM2871134,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871134,Day 3 reset H9,SRP125954
SRR6335137,RNA-Seq,300,8322276300,PRJNA420514,SAMN08114967,3092765266,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434264,GSM2871135,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871135,Day 6 reset H9,SRP125954
SRR6335138,RNA-Seq,300,7690757100,PRJNA420514,SAMN08114966,2863791066,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434265,GSM2871136,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871136,Day 6 reset H9,SRP125954
SRR6335139,RNA-Seq,300,8222677800,PRJNA420514,SAMN08114973,3037266115,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434266,GSM2871137,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871137,Day 10 reset H9,SRP125954
SRR6335140,RNA-Seq,300,7990439700,PRJNA420514,SAMN08114972,2965651716,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434267,GSM2871138,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871138,Day 10 reset H9,SRP125954
SRR6335141,RNA-Seq,300,8403597600,PRJNA420514,SAMN08114971,3121179665,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434268,GSM2871139,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871139,Day 15 reset H9,SRP125954
SRR6335142,RNA-Seq,300,7298714400,PRJNA420514,SAMN08114970,2711558264,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434269,GSM2871140,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871140,Day 15 reset H9,SRP125954
SRR6335143,RNA-Seq,300,8939502000,PRJNA420514,SAMN08114969,3309132317,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434270,GSM2871141,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871141,Day 20 reset H9,SRP125954
SRR6335144,RNA-Seq,300,9134412900,PRJNA420514,SAMN08114968,3359872737,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434271,GSM2871142,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871142,Day 20 reset H9,SRP125954
SRR7093662,RNA-Seq,300,24470377800,PRJNA420514,SAMN08114964,11429936815,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434252,GSM2871123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-02T00:00:00Z,GSM2871123,Primed H9,SRP125954
SRR7093663,RNA-Seq,300,59136285000,PRJNA420514,SAMN08114964,27170461137,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434252,GSM2871123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-02T00:00:00Z,GSM2871123,Primed H9,SRP125954
SRR7093664,RNA-Seq,300,153743255100,PRJNA420514,SAMN08114964,65447423300,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434252,GSM2871123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2871123,Primed H9,SRP125954
