Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line,Passages,TISSUE
SRR6996093,RNA-Seq,100,1249692700,PRJNA449954,SAMN08923858,436578285,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930797,GSM3096395,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096395,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996094,RNA-Seq,100,1244316400,PRJNA449954,SAMN08923858,435445735,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930797,GSM3096395,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096395,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996095,RNA-Seq,100,1248522800,PRJNA449954,SAMN08923858,439658694,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930797,GSM3096395,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096395,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996096,RNA-Seq,100,1268916100,PRJNA449954,SAMN08923853,445808664,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930798,GSM3096396,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096396,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996097,RNA-Seq,100,1267163000,PRJNA449954,SAMN08923853,445290865,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930798,GSM3096396,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096396,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996098,RNA-Seq,100,1272195600,PRJNA449954,SAMN08923853,450344276,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930798,GSM3096396,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096396,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996099,RNA-Seq,150,1784072757,PRJNA449954,SAMN08923848,724530056,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930799,GSM3096397,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096397,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996100,RNA-Seq,150,1785687714,PRJNA449954,SAMN08923848,735484874,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930799,GSM3096397,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096397,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996101,RNA-Seq,150,1808275463,PRJNA449954,SAMN08923848,737657922,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930799,GSM3096397,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096397,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996102,RNA-Seq,150,1816260881,PRJNA449954,SAMN08923848,746475587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930799,GSM3096397,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096397,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996103,RNA-Seq,150,1667565165,PRJNA449954,SAMN08923841,678007298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930800,GSM3096398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096398,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996104,RNA-Seq,150,1668962658,PRJNA449954,SAMN08923841,688673495,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930800,GSM3096398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096398,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996105,RNA-Seq,150,1680105194,PRJNA449954,SAMN08923841,686079758,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930800,GSM3096398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096398,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996106,RNA-Seq,150,1691270377,PRJNA449954,SAMN08923841,696517099,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930800,GSM3096398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096398,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996107,RNA-Seq,100,1288179700,PRJNA449954,SAMN08923835,453474502,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930801,GSM3096399,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096399,Mouse Embryo,SRP139860,,,heart mesothelium
SRR6996108,RNA-Seq,100,1285774500,PRJNA449954,SAMN08923835,452476146,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930801,GSM3096399,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096399,Mouse Embryo,SRP139860,,,heart mesothelium
SRR6996109,RNA-Seq,100,1292413900,PRJNA449954,SAMN08923835,458398312,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930801,GSM3096399,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096399,Mouse Embryo,SRP139860,,,heart mesothelium
SRR6996110,RNA-Seq,100,876825400,PRJNA449954,SAMN08923829,307429168,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930802,GSM3096400,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096400,Mouse Embryo,SRP139860,,,lung mesothelium
SRR6996111,RNA-Seq,100,874444300,PRJNA449954,SAMN08923829,306431290,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930802,GSM3096400,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096400,Mouse Embryo,SRP139860,,,lung mesothelium
SRR6996112,RNA-Seq,100,879002200,PRJNA449954,SAMN08923829,310596776,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930802,GSM3096400,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096400,Mouse Embryo,SRP139860,,,lung mesothelium
SRR6996113,RNA-Seq,100,1129012600,PRJNA449954,SAMN08923825,397001321,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930803,GSM3096401,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096401,Mouse Embryo,SRP139860,,,liver mesothelium
SRR6996114,RNA-Seq,100,1128372600,PRJNA449954,SAMN08923825,396688894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930803,GSM3096401,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096401,Mouse Embryo,SRP139860,,,liver mesothelium
SRR6996115,RNA-Seq,100,1133175600,PRJNA449954,SAMN08923825,401476827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930803,GSM3096401,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096401,Mouse Embryo,SRP139860,,,liver mesothelium
SRR6996116,RNA-Seq,100,1195656500,PRJNA449954,SAMN08923823,418347275,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930804,GSM3096402,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096402,Mouse Embryo,SRP139860,,,gut mesothelium
SRR6996117,RNA-Seq,100,1192164300,PRJNA449954,SAMN08923823,417109255,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930804,GSM3096402,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096402,Mouse Embryo,SRP139860,,,gut mesothelium
SRR6996118,RNA-Seq,100,1197928100,PRJNA449954,SAMN08923823,422651414,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930804,GSM3096402,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-10-08T00:00:00Z,GSM3096402,Mouse Embryo,SRP139860,,,gut mesothelium
SRR6996119,RNA-Seq,100,1092821600,PRJNA449954,SAMN08923816,385719645,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930805,GSM3096403,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096403,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996120,RNA-Seq,100,1089817300,PRJNA449954,SAMN08923816,384470617,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930805,GSM3096403,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096403,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996121,RNA-Seq,100,1094183700,PRJNA449954,SAMN08923816,389265082,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930805,GSM3096403,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096403,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996122,ChIP-Seq,49,1522383663,PRJNA449954,SAMN08923811,977767492,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930806,GSM3096404,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096404,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996123,ChIP-Seq,49,2549772104,PRJNA449954,SAMN08923807,1593828418,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930807,GSM3096405,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096405,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996124,ChIP-Seq,49,692487554,PRJNA449954,SAMN08923806,422387543,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930808,GSM3096406,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096406,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
