Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,combined_analysis_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2183365,RNA-Seq,202,7575142612,PRJNA293908,SAMN04011907,4906474071,GEO,MII_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Mature oocyte,SRX1164519,GSM1861611,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861611,Oocyte,SRP062850
SRR2183366,RNA-Seq,202,8543887344,PRJNA293908,SAMN04011907,5758687817,GEO,MII_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Mature oocyte,SRX1164519,GSM1861611,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861611,Oocyte,SRP062850
SRR2183367,RNA-Seq,202,10984580422,PRJNA293908,SAMN04011908,7619592177,GEO,PN_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1-cell embryo,SRX1164520,GSM1861612,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861612,Embryo,SRP062850
SRR2183368,RNA-Seq,202,10624116876,PRJNA293908,SAMN04011908,7233720831,GEO,PN_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1-cell embryo,SRX1164520,GSM1861612,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861612,Embryo,SRP062850
SRR2183369,RNA-Seq,202,9411376142,PRJNA293908,SAMN04011909,6377455476,GEO,PN_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1-cell embryo,SRX1164521,GSM1861613,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861613,Embryo,SRP062850
SRR2183370,RNA-Seq,202,7854305804,PRJNA293908,SAMN04011909,5240506791,GEO,PN_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1-cell embryo,SRX1164521,GSM1861613,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861613,Embryo,SRP062850
SRR2183371,RNA-Seq,202,11228593796,PRJNA293908,SAMN04011910,7762957070,GEO,CL_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","2-\,4-\,and 8-cell embryo",SRX1164522,GSM1861614,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861614,Embryo,SRP062850
SRR2183372,RNA-Seq,202,9917582486,PRJNA293908,SAMN04011910,6693712159,GEO,CL_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","2-\,4-\,and 8-cell embryo",SRX1164522,GSM1861614,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861614,Embryo,SRP062850
SRR2183373,RNA-Seq,202,11311583880,PRJNA293908,SAMN04011911,7669966280,GEO,CL_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","2-\,4-\,and 8-cell embryo",SRX1164523,GSM1861615,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861615,Embryo,SRP062850
SRR2183374,RNA-Seq,202,8950321444,PRJNA293908,SAMN04011911,5953202594,GEO,CL_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","2-\,4-\,and 8-cell embryo",SRX1164523,GSM1861615,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861615,Embryo,SRP062850
SRR2183375,RNA-Seq,202,9474036340,PRJNA293908,SAMN04011912,6594341993,GEO,MOR_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Morula,SRX1164524,GSM1861616,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861616,Embryo,SRP062850
SRR2183376,RNA-Seq,202,10238458476,PRJNA293908,SAMN04011912,6988185961,GEO,MOR_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Morula,SRX1164524,GSM1861616,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861616,Embryo,SRP062850
SRR2183377,RNA-Seq,202,9275472360,PRJNA293908,SAMN04011913,6295736574,GEO,MOR_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Morula,SRX1164525,GSM1861617,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861617,Embryo,SRP062850
SRR2183378,RNA-Seq,202,10194639020,PRJNA293908,SAMN04011913,6936525190,GEO,MOR_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Morula,SRX1164525,GSM1861617,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861617,Embryo,SRP062850
SRR2183379,RNA-Seq,202,11738634908,PRJNA293908,SAMN04011914,8147655636,GEO,ICM_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; ICM and polar trophectoderm,SRX1164526,GSM1861618,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861618,Embryo,SRP062850
SRR2183380,RNA-Seq,202,11038867518,PRJNA293908,SAMN04011914,7523775768,GEO,ICM_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; ICM and polar trophectoderm,SRX1164526,GSM1861618,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861618,Embryo,SRP062850
SRR2183381,RNA-Seq,202,13149165356,PRJNA293908,SAMN04011915,8788452501,GEO,ICM_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; ICM and polar trophectoderm,SRX1164527,GSM1861619,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861619,Embryo,SRP062850
SRR2183382,RNA-Seq,202,11901143302,PRJNA293908,SAMN04011915,8083653305,GEO,ICM_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; ICM and polar trophectoderm,SRX1164527,GSM1861619,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861619,Embryo,SRP062850
SRR2183383,RNA-Seq,202,12241128088,PRJNA293908,SAMN04011916,8294733713,GEO,TROPH_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; mural trophectoderm,SRX1164528,GSM1861620,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861620,Embryo,SRP062850
SRR2183384,RNA-Seq,202,10151445158,PRJNA293908,SAMN04011916,6917614189,GEO,TROPH_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; mural trophectoderm,SRX1164528,GSM1861620,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861620,Embryo,SRP062850
SRR2183385,RNA-Seq,202,10216698026,PRJNA293908,SAMN04011917,6813077510,GEO,TROPH_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; mural trophectoderm,SRX1164529,GSM1861621,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861621,Embryo,SRP062850
SRR2183386,RNA-Seq,202,9674582748,PRJNA293908,SAMN04011917,6574935186,GEO,TROPH_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst; mural trophectoderm,SRX1164529,GSM1861621,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861621,Embryo,SRP062850
