Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,molecule_subtype
SRR1295929,Bisulfite-Seq,202,2295224394,PRJNA215030,SAMN02798006,1568561833,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550400,GSM1396522,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396522,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295930,Bisulfite-Seq,202,3736577820,PRJNA215030,SAMN02798013,2524589815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550401,GSM1396523,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396523,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295931,Bisulfite-Seq,202,3338335426,PRJNA215030,SAMN02798007,2239353465,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550402,GSM1396524,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396524,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295932,Bisulfite-Seq,202,2515961712,PRJNA215030,SAMN02798014,1585203911,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550403,GSM1396525,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396525,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295933,Bisulfite-Seq,202,2508520840,PRJNA215030,SAMN02798016,1715469158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550404,GSM1396526,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396526,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295934,Bisulfite-Seq,202,1894758586,PRJNA215030,SAMN02798009,1234722056,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550405,GSM1396527,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396527,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295935,Bisulfite-Seq,202,4363312716,PRJNA215030,SAMN02798012,2717106670,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",oocyte,SRX550406,GSM1396528,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396528,metaphase II oocyte,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295936,Bisulfite-Seq,202,1949713696,PRJNA215030,SAMN02798015,1218937333,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",oocyte,SRX550407,GSM1396529,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396529,metaphase II oocyte,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295937,Bisulfite-Seq,202,3901975824,PRJNA215030,SAMN02798017,2310032077,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",oocyte,SRX550408,GSM1396530,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396530,metaphase II oocyte,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295938,Bisulfite-Seq,202,3321323390,PRJNA215030,SAMN02797984,1976778971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX550409,GSM1396531,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396531,sperm,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295939,Bisulfite-Seq,202,4554354216,PRJNA215030,SAMN02797976,2921511241,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX550410,GSM1396532,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396532,sperm,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295940,Bisulfite-Seq,202,3583861376,PRJNA215030,SAMN02797982,2289319121,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX550411,GSM1396533,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396533,sperm,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295941,Bisulfite-Seq,202,2163110334,PRJNA215030,SAMN02797975,1326073067,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX550412,GSM1396534,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396534,sperm,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295942,Bisulfite-Seq,202,26547131284,PRJNA215030,SAMN02797978,15872748676,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX550413,GSM1396535,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396535,inner cell mass,SRP028804,bisulfite treated genomic DNA
SRR1295943,Bisulfite-Seq,202,31931205146,PRJNA215030,SAMN02797977,19634462056,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550414,GSM1396536,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396536,liver,SRP028804,bisulfite treated genomic DNA
SRR1295944,RNA-Seq,202,2493489010,PRJNA215030,SAMN02797983,1658643522,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550415,GSM1396537,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396537,postimplantation embryo,SRP028804,cDNA
SRR1295945,RNA-Seq,202,2340260698,PRJNA215030,SAMN02797981,1559861794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550416,GSM1396538,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396538,postimplantation embryo,SRP028804,cDNA
SRR1295946,RNA-Seq,202,2356499478,PRJNA215030,SAMN02797980,1570532565,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550417,GSM1396539,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396539,postimplantation embryo,SRP028804,cDNA
SRR1295947,Bisulfite-Seq,202,26274154342,PRJNA215030,SAMN02797979,15638473697,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX550418,GSM1396540,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396540,inner cell mass,SRP028804,bisulfite treated genomic DNA
SRR1295948,Bisulfite-Seq,202,31853564426,PRJNA215030,SAMN02797985,19671925090,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550419,GSM1396541,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396541,liver,SRP028804,bisulfite treated genomic DNA
SRR1295949,Bisulfite-Seq,202,31374147120,PRJNA215030,SAMN02797988,19367126010,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX550420,GSM1396542,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396542,liver,SRP028804,bisulfite treated genomic DNA
SRR950976,Bisulfite-Seq,202,3849072428,PRJNA215030,SAMN02316259,2578895541,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",the first polar body,SRX334136,GSM1207797,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207797,polar body,SRP028804,
SRR950977,Bisulfite-Seq,202,4918063094,PRJNA215030,SAMN02316265,3211826417,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",the first polar body,SRX334137,GSM1207798,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207798,polar body,SRP028804,
SRR950978,Bisulfite-Seq,202,5577806608,PRJNA215030,SAMN02316263,3733593929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",the second polar body,SRX334138,GSM1207799,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207799,polar body,SRP028804,
SRR950979,Bisulfite-Seq,202,5966764880,PRJNA215030,SAMN02316260,3841803822,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",the second polar body,SRX334139,GSM1207800,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207800,polar body,SRP028804,
SRR950980,Bisulfite-Seq,202,3735947378,PRJNA215030,SAMN02316266,2478197580,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell embryo,SRX334140,GSM1207801,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207801,2-cell embryo,SRP028804,
SRR950981,Bisulfite-Seq,202,5738325706,PRJNA215030,SAMN02316262,3912757820,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell embryo,SRX334141,GSM1207802,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207802,2-cell embryo,SRP028804,
SRR950982,Bisulfite-Seq,202,10085861212,PRJNA215030,SAMN02316261,6890857944,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell embryo,SRX334142,GSM1207803,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207803,4-cell embryo,SRP028804,
SRR950983,Bisulfite-Seq,202,5950726484,PRJNA215030,SAMN02316264,3858174563,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell embryo,SRX334143,GSM1207804,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207804,4-cell embryo,SRP028804,
SRR950984,Bisulfite-Seq,202,1147205470,PRJNA215030,SAMN02316267,794275073,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334144,GSM1207805,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207805,8-cell embryo,SRP028804,
SRR950985,Bisulfite-Seq,202,2577671500,PRJNA215030,SAMN02316268,1623205972,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334145,GSM1207806,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207806,8-cell embryo,SRP028804,
SRR950986,Bisulfite-Seq,202,1302858792,PRJNA215030,SAMN02316269,899304541,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334146,GSM1207807,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207807,8-cell embryo,SRP028804,
SRR950987,Bisulfite-Seq,202,2416186438,PRJNA215030,SAMN02316271,1517720329,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334147,GSM1207808,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207808,8-cell embryo,SRP028804,
SRR950988,Bisulfite-Seq,202,2490512944,PRJNA215030,SAMN02316270,1711144214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334148,GSM1207809,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207809,8-cell embryo,SRP028804,
SRR950989,Bisulfite-Seq,202,2391281050,PRJNA215030,SAMN02316274,1493338536,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",8-cell embryo,SRX334149,GSM1207810,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207810,8-cell embryo,SRP028804,
SRR950990,Bisulfite-Seq,202,4234687398,PRJNA215030,SAMN02316272,2876114524,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX334150,GSM1207811,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207811,inner cell mass,SRP028804,
SRR950991,Bisulfite-Seq,202,4725315098,PRJNA215030,SAMN02316273,3257024695,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX334151,GSM1207812,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207812,inner cell mass,SRP028804,
SRR950992,Bisulfite-Seq,202,5128797776,PRJNA215030,SAMN02316276,3467410092,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX334152,GSM1207813,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207813,inner cell mass,SRP028804,
SRR950993,Bisulfite-Seq,202,4853710338,PRJNA215030,SAMN02316275,3301338756,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst,SRX334153,GSM1207814,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207814,inner cell mass,SRP028804,
SRR950994,Bisulfite-Seq,202,6327507388,PRJNA215030,SAMN02316277,4098382346,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",oocyte,SRX334154,GSM1207815,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207815,metaphase II oocyte,SRP028804,
SRR950995,Bisulfite-Seq,202,7304709456,PRJNA215030,SAMN02316278,4669690499,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",oocyte,SRX334155,GSM1207816,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207816,metaphase II oocyte,SRP028804,
SRR950996,Bisulfite-Seq,202,1470152162,PRJNA215030,SAMN02316280,1007067046,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334156,GSM1207817,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207817,morula,SRP028804,
SRR950997,Bisulfite-Seq,202,2845958406,PRJNA215030,SAMN02316279,1773691657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334157,GSM1207818,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207818,morula,SRP028804,
SRR950998,Bisulfite-Seq,202,1321440166,PRJNA215030,SAMN02316282,906210344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334158,GSM1207819,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207819,morula,SRP028804,
