Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sequencing_batch,source_name,SRA Study,TISSUE
SRR6009958,RNA-Seq,150,1313677952,PRJNA401729,SAMN07609043,548588146,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163911,PODXL mutant,GSM2773439,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773439,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009959,RNA-Seq,150,1298249795,PRJNA401729,SAMN07609043,537749546,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163911,PODXL mutant,GSM2773439,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773439,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009960,RNA-Seq,149,438558652,PRJNA401729,SAMN07609042,149460643,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163912,PODXL mutant,GSM2773440,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773440,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009961,RNA-Seq,149,433597688,PRJNA401729,SAMN07609042,147712419,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163912,PODXL mutant,GSM2773440,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773440,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009962,RNA-Seq,149,444557108,PRJNA401729,SAMN07609042,148648460,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163912,PODXL mutant,GSM2773440,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773440,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009963,RNA-Seq,149,443831776,PRJNA401729,SAMN07609042,147535521,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163912,PODXL mutant,GSM2773440,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773440,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009964,RNA-Seq,150,334843570,PRJNA401729,SAMN07609041,114469033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163913,PODXL mutant,GSM2773441,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773441,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009965,RNA-Seq,150,333475479,PRJNA401729,SAMN07609041,113953540,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163913,PODXL mutant,GSM2773441,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773441,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009966,RNA-Seq,150,338567592,PRJNA401729,SAMN07609041,113581652,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163913,PODXL mutant,GSM2773441,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773441,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009967,RNA-Seq,150,339739882,PRJNA401729,SAMN07609041,113338011,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163913,PODXL mutant,GSM2773441,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773441,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009968,RNA-Seq,150,361946506,PRJNA401729,SAMN07609040,123117042,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163914,PODXL mutant,GSM2773442,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773442,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009969,RNA-Seq,150,360296663,PRJNA401729,SAMN07609040,122526990,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163914,PODXL mutant,GSM2773442,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773442,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009970,RNA-Seq,150,366401893,PRJNA401729,SAMN07609040,122287381,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163914,PODXL mutant,GSM2773442,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773442,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009971,RNA-Seq,150,366503654,PRJNA401729,SAMN07609040,121615407,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163914,PODXL mutant,GSM2773442,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773442,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009972,RNA-Seq,150,584741442,PRJNA401729,SAMN07609039,253058456,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163915,PODXL wild type/control,GSM2773443,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773443,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009973,RNA-Seq,150,573851111,PRJNA401729,SAMN07609039,248162224,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163915,PODXL wild type/control,GSM2773443,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773443,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009974,RNA-Seq,150,992193251,PRJNA401729,SAMN07609039,414086620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163915,PODXL wild type/control,GSM2773443,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773443,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009975,RNA-Seq,150,975735743,PRJNA401729,SAMN07609039,404365593,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163915,PODXL wild type/control,GSM2773443,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773443,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009976,RNA-Seq,149,337819170,PRJNA401729,SAMN07609038,115673976,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163916,PODXL wild type/control,GSM2773444,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773444,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009977,RNA-Seq,149,335935151,PRJNA401729,SAMN07609038,115163153,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163916,PODXL wild type/control,GSM2773444,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773444,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009978,RNA-Seq,149,342594334,PRJNA401729,SAMN07609038,115056420,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163916,PODXL wild type/control,GSM2773444,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773444,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009979,RNA-Seq,149,342826601,PRJNA401729,SAMN07609038,114621447,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163916,PODXL wild type/control,GSM2773444,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773444,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009980,RNA-Seq,149,367574513,PRJNA401729,SAMN07609037,127528329,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163917,PODXL wild type/control,GSM2773445,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773445,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009981,RNA-Seq,149,364127731,PRJNA401729,SAMN07609037,126315324,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163917,PODXL wild type/control,GSM2773445,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773445,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009982,RNA-Seq,149,374918286,PRJNA401729,SAMN07609037,127543088,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163917,PODXL wild type/control,GSM2773445,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773445,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009983,RNA-Seq,149,375273413,PRJNA401729,SAMN07609037,126718937,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163917,PODXL wild type/control,GSM2773445,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773445,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009984,RNA-Seq,150,747993157,PRJNA401729,SAMN07609036,326199526,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163918,PODXL wild type/control,GSM2773446,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773446,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009985,RNA-Seq,150,738101560,PRJNA401729,SAMN07609036,320900641,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163918,PODXL wild type/control,GSM2773446,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773446,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009986,RNA-Seq,150,1267954562,PRJNA401729,SAMN07609036,534197666,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163918,PODXL wild type/control,GSM2773446,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773446,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009987,RNA-Seq,150,1249713841,PRJNA401729,SAMN07609036,521265822,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163918,PODXL wild type/control,GSM2773446,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773446,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009988,RNA-Seq,149,333345249,PRJNA401729,SAMN07609035,114550275,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163919,PODXL wild type/control,GSM2773447,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773447,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009989,RNA-Seq,149,329828142,PRJNA401729,SAMN07609035,113269202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163919,PODXL wild type/control,GSM2773447,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773447,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009990,RNA-Seq,149,338792264,PRJNA401729,SAMN07609035,114150470,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163919,PODXL wild type/control,GSM2773447,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773447,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009991,RNA-Seq,149,337881133,PRJNA401729,SAMN07609035,113162417,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163919,PODXL wild type/control,GSM2773447,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773447,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009992,RNA-Seq,150,515334752,PRJNA401729,SAMN07609034,175316938,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163920,PODXL wild type/control,GSM2773448,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773448,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009993,RNA-Seq,150,510794756,PRJNA401729,SAMN07609034,173682967,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163920,PODXL wild type/control,GSM2773448,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773448,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009994,RNA-Seq,150,522508250,PRJNA401729,SAMN07609034,174467552,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163920,PODXL wild type/control,GSM2773448,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773448,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009995,RNA-Seq,150,521708780,PRJNA401729,SAMN07609034,173184540,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163920,PODXL wild type/control,GSM2773448,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773448,3/11/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
