Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR1732054,RNA-Seq,200,800000000,PRJNA270993,SAMN03272160,579779227,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821435,GSM1571091,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571091,SRP051472
SRR1732055,RNA-Seq,200,800000000,PRJNA270993,SAMN03272103,584091951,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821436,GSM1571092,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571092,SRP051472
SRR1732056,RNA-Seq,200,800000000,PRJNA270993,SAMN03272119,568204176,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821437,GSM1571093,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571093,SRP051472
SRR1732057,RNA-Seq,200,800000000,PRJNA270993,SAMN03272113,569973174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821438,GSM1571094,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571094,SRP051472
SRR1732058,RNA-Seq,200,239391600,PRJNA270993,SAMN03272108,172301911,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821439,GSM1571095,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571095,SRP051472
SRR1732059,RNA-Seq,200,800000000,PRJNA270993,SAMN03272125,562318891,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821440,GSM1571096,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571096,SRP051472
SRR1732060,RNA-Seq,200,800000000,PRJNA270993,SAMN03272133,561985700,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821441,GSM1571097,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571097,SRP051472
SRR1732061,RNA-Seq,200,800000000,PRJNA270993,SAMN03272148,560276630,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821442,GSM1571098,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571098,SRP051472
SRR1732062,RNA-Seq,200,800000000,PRJNA270993,SAMN03272104,561818976,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821443,GSM1571099,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571099,SRP051472
SRR1732063,RNA-Seq,200,800000000,PRJNA270993,SAMN03272153,561765679,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821444,GSM1571100,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571100,SRP051472
SRR1732064,RNA-Seq,200,327215200,PRJNA270993,SAMN03272140,235582837,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821445,GSM1571101,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571101,SRP051472
SRR1732065,RNA-Seq,200,800000000,PRJNA270993,SAMN03272128,568471259,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821446,GSM1571102,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571102,SRP051472
SRR1732066,RNA-Seq,200,800000000,PRJNA270993,SAMN03272120,566872842,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821447,GSM1571103,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571103,SRP051472
SRR1732067,RNA-Seq,200,800000000,PRJNA270993,SAMN03272152,569512605,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821448,GSM1571104,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571104,SRP051472
SRR1732068,RNA-Seq,200,800000000,PRJNA270993,SAMN03272111,573281388,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821449,GSM1571105,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571105,SRP051472
SRR1732069,RNA-Seq,200,800000000,PRJNA270993,SAMN03272144,576075657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821450,GSM1571106,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571106,SRP051472
SRR1732070,RNA-Seq,200,800000000,PRJNA270993,SAMN03272124,563870344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821451,GSM1571107,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571107,SRP051472
SRR1732071,RNA-Seq,200,800000000,PRJNA270993,SAMN03272139,573873437,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821452,GSM1571108,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571108,SRP051472
SRR1732072,RNA-Seq,200,800000000,PRJNA270993,SAMN03272142,576087777,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821453,GSM1571109,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571109,SRP051472
SRR1732073,RNA-Seq,200,800000000,PRJNA270993,SAMN03272143,564788356,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821454,GSM1571110,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571110,SRP051472
SRR1732074,RNA-Seq,200,800000000,PRJNA270993,SAMN03272105,571263355,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821455,GSM1571111,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571111,SRP051472
SRR1732075,RNA-Seq,200,800000000,PRJNA270993,SAMN03272158,567198071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821456,GSM1571112,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571112,SRP051472
SRR1732076,RNA-Seq,200,800000000,PRJNA270993,SAMN03272154,567814417,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821457,GSM1571113,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571113,SRP051472
SRR1732077,RNA-Seq,200,284023600,PRJNA270993,SAMN03272115,206323723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821458,GSM1571114,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571114,SRP051472
SRR1732078,RNA-Seq,200,800000000,PRJNA270993,SAMN03272141,565153841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821459,GSM1571115,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571115,SRP051472
SRR1732079,RNA-Seq,200,800000000,PRJNA270993,SAMN03272118,562507880,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821460,GSM1571116,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571116,SRP051472
SRR1732080,RNA-Seq,200,800000000,PRJNA270993,SAMN03272138,567997587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821461,GSM1571117,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571117,SRP051472
SRR1732081,RNA-Seq,200,800000000,PRJNA270993,SAMN03272132,566377830,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821462,GSM1571118,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571118,SRP051472
SRR1732082,RNA-Seq,200,800000000,PRJNA270993,SAMN03272122,569362744,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821463,GSM1571119,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571119,SRP051472
SRR1732083,RNA-Seq,200,271786000,PRJNA270993,SAMN03272114,196336927,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821464,GSM1571120,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571120,SRP051472
SRR1732084,RNA-Seq,200,800000000,PRJNA270993,SAMN03272157,567705639,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821465,GSM1571121,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571121,SRP051472
SRR1732085,RNA-Seq,200,800000000,PRJNA270993,SAMN03272117,571551324,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821466,GSM1571122,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571122,SRP051472
SRR1732086,RNA-Seq,200,800000000,PRJNA270993,SAMN03272112,572979100,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821467,GSM1571123,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571123,SRP051472
SRR1732087,RNA-Seq,200,800000000,PRJNA270993,SAMN03272162,568305186,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821468,GSM1571124,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571124,SRP051472
SRR1732088,RNA-Seq,200,471102400,PRJNA270993,SAMN03272136,338863395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821469,GSM1571125,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571125,SRP051472
