Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Development_stage,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR490971,RNA-Seq,100,3889635200,PRJNA153427,SAMN00989125,2639682404,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144350,GSM922156,Illumina HiSeq 2000,GSM922156: 4-cell embryo#3 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922156,4-cell embryo#3,SRP011546,human preimplantation embryos
SRR490972,RNA-Seq,100,5823544900,PRJNA153427,SAMN00989126,3941873459,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144351,GSM922157,Illumina HiSeq 2000,GSM922157: 4-cell embryo#3 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922157,4-cell embryo#3,SRP011546,human preimplantation embryos
SRR490973,RNA-Seq,100,3191144200,PRJNA153427,SAMN00989127,2098731225,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144352,GSM922158,Illumina HiSeq 2000,GSM922158: 8-cell embryo#1 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922158,8-cell embryo#1,SRP011546,human preimplantation embryos
SRR490974,RNA-Seq,100,3028239000,PRJNA153427,SAMN00989128,1984520428,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144353,GSM922159,Illumina HiSeq 2000,GSM922159: 8-cell embryo#1 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922159,8-cell embryo#1,SRP011546,human preimplantation embryos
SRR490975,RNA-Seq,100,3356581600,PRJNA153427,SAMN00989129,2139641372,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144354,GSM922160,Illumina HiSeq 2000,GSM922160: 8-cell embryo#1 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922160,8-cell embryo#1,SRP011546,human preimplantation embryos
SRR490976,RNA-Seq,100,3326194400,PRJNA153427,SAMN00989130,2237901181,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144355,GSM922161,Illumina HiSeq 2000,GSM922161: 8-cell embryo#1 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922161,8-cell embryo#1,SRP011546,human preimplantation embryos
SRR490977,RNA-Seq,100,2760253800,PRJNA153427,SAMN00989131,1844766125,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144356,GSM922162,Illumina HiSeq 2000,GSM922162: 8-cell embryo#2 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922162,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490978,RNA-Seq,100,3248277000,PRJNA153427,SAMN00989132,2144775028,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144357,GSM922163,Illumina HiSeq 2000,GSM922163: 8-cell embryo#2 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922163,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490979,RNA-Seq,100,2827145200,PRJNA153427,SAMN00989133,1863664824,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144358,GSM922164,Illumina HiSeq 2000,GSM922164: 8-cell embryo#2 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922164,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490980,RNA-Seq,100,3191523200,PRJNA153427,SAMN00989134,2127346157,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144359,GSM922165,Illumina HiSeq 2000,GSM922165: 8-cell embryo#2 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922165,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490981,RNA-Seq,100,3409890000,PRJNA153427,SAMN00989135,2233661236,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144360,GSM922166,Illumina HiSeq 2000,GSM922166: 8-cell embryo#2 -Cell#5,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922166,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490982,RNA-Seq,100,3237626800,PRJNA153427,SAMN00989136,2118432227,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144361,GSM922167,Illumina HiSeq 2000,GSM922167: 8-cell embryo#2 -Cell#6,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922167,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490983,RNA-Seq,100,1979280000,PRJNA153427,SAMN00989137,1306204804,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144362,GSM922168,Illumina HiSeq 2000,GSM922168: 8-cell embryo#2 -Cell#7,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922168,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490984,RNA-Seq,100,2236455400,PRJNA153427,SAMN00989138,1476429535,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144363,GSM922169,Illumina HiSeq 2000,GSM922169: 8-cell embryo#2 -Cell#8,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922169,8-cell embryo#2,SRP011546,human preimplantation embryos
SRR490985,RNA-Seq,100,4799046800,PRJNA153427,SAMN00989139,3196831947,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144364,GSM922170,Illumina HiSeq 2000,GSM922170: 8-cell embryo#3 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922170,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490986,RNA-Seq,100,4224389800,PRJNA153427,SAMN00989140,2815930225,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144365,GSM922171,Illumina HiSeq 2000,GSM922171: 8-cell embryo#3 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922171,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490987,RNA-Seq,100,3608979100,PRJNA153427,SAMN00989141,2392107129,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144366,GSM922172,Illumina HiSeq 2000,GSM922172: 8-cell embryo#3 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922172,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490988,RNA-Seq,100,4888703400,PRJNA153427,SAMN00989142,3251789121,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144367,GSM922173,Illumina HiSeq 2000,GSM922173: 8-cell embryo#3 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922173,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490989,RNA-Seq,100,4285149700,PRJNA153427,SAMN00989143,2863659663,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144368,GSM922174,Illumina HiSeq 2000,GSM922174: 8-cell embryo#3 -Cell#5,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922174,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490990,RNA-Seq,100,4750085700,PRJNA153427,SAMN00989144,3178301878,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144369,GSM922175,Illumina HiSeq 2000,GSM922175: 8-cell embryo#3 -Cell#6,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922175,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490991,RNA-Seq,100,3354501000,PRJNA153427,SAMN00989145,2223661982,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144370,GSM922176,Illumina HiSeq 2000,GSM922176: 8-cell embryo#3 -Cell#7,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922176,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490992,RNA-Seq,100,4326311500,PRJNA153427,SAMN00989146,2860143930,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144371,GSM922177,Illumina HiSeq 2000,GSM922177: 8-cell embryo#3 -Cell#8,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922177,8-cell embryo#3,SRP011546,human preimplantation embryos
SRR490993,RNA-Seq,100,4458523500,PRJNA153427,SAMN00989147,3013336479,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144372,GSM922178,Illumina HiSeq 2000,GSM922178: Morulae #1 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922178,Morulae #1,SRP011546,human preimplantation embryos
SRR490994,RNA-Seq,100,2869080600,PRJNA153427,SAMN00989148,1946626395,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144373,GSM922179,Illumina HiSeq 2000,GSM922179: Morulae #1 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922179,Morulae #1,SRP011546,human preimplantation embryos
SRR490995,RNA-Seq,100,2785058600,PRJNA153427,SAMN00989149,1888573379,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144374,GSM922180,Illumina HiSeq 2000,GSM922180: Morulae #1 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922180,Morulae #1,SRP011546,human preimplantation embryos
SRR490996,RNA-Seq,100,3906587300,PRJNA153427,SAMN00989150,2638574962,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144375,GSM922181,Illumina HiSeq 2000,GSM922181: Morulae #1 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922181,Morulae #1,SRP011546,human preimplantation embryos
SRR490997,RNA-Seq,100,3389443100,PRJNA153427,SAMN00989151,2306282260,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144376,GSM922182,Illumina HiSeq 2000,GSM922182: Morulae #1 -Cell#5,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922182,Morulae #1,SRP011546,human preimplantation embryos
SRR490998,RNA-Seq,100,2948988700,PRJNA153427,SAMN00989152,1992455158,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144377,GSM922183,Illumina HiSeq 2000,GSM922183: Morulae #1 -Cell#6,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922183,Morulae #1,SRP011546,human preimplantation embryos
SRR490999,RNA-Seq,100,2432738200,PRJNA153427,SAMN00989153,1647280770,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144378,GSM922184,Illumina HiSeq 2000,GSM922184: Morulae #1 -Cell#7,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922184,Morulae #1,SRP011546,human preimplantation embryos
SRR491000,RNA-Seq,100,2943582200,PRJNA153427,SAMN00989154,2009407340,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144379,GSM922185,Illumina HiSeq 2000,GSM922185: Morulae #1 -Cell#8,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922185,Morulae #1,SRP011546,human preimplantation embryos
SRR491001,RNA-Seq,100,3903753100,PRJNA153427,SAMN00989155,2517157322,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144380,GSM922186,Illumina HiSeq 2000,GSM922186: Morulae #2 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922186,Morulae #2,SRP011546,human preimplantation embryos
SRR491002,RNA-Seq,100,3709075100,PRJNA153427,SAMN00989156,2420005304,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144381,GSM922187,Illumina HiSeq 2000,GSM922187: Morulae #2 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922187,Morulae #2,SRP011546,human preimplantation embryos
SRR491003,RNA-Seq,100,2513570500,PRJNA153427,SAMN00989157,1619549682,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144382,GSM922188,Illumina HiSeq 2000,GSM922188: Morulae #2 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922188,Morulae #2,SRP011546,human preimplantation embryos
SRR491004,RNA-Seq,100,4104177700,PRJNA153427,SAMN00989158,2679069933,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144383,GSM922189,Illumina HiSeq 2000,GSM922189: Morulae #2 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922189,Morulae #2,SRP011546,human preimplantation embryos
SRR491005,RNA-Seq,100,3369877000,PRJNA153427,SAMN00989159,2199325092,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144384,GSM922190,Illumina HiSeq 2000,GSM922190: Morulae #2 -Cell#5,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922190,Morulae #2,SRP011546,human preimplantation embryos
SRR491006,RNA-Seq,100,3645608300,PRJNA153427,SAMN00989160,2362017409,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144385,GSM922191,Illumina HiSeq 2000,GSM922191: Morulae #2 -Cell#6,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922191,Morulae #2,SRP011546,human preimplantation embryos
SRR491007,RNA-Seq,100,2673609000,PRJNA153427,SAMN00989161,1705667005,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144386,GSM922192,Illumina HiSeq 2000,GSM922192: Morulae #2 -Cell#7,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922192,Morulae #2,SRP011546,human preimplantation embryos
SRR491008,RNA-Seq,100,3698902100,PRJNA153427,SAMN00989162,2343640366,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144387,GSM922193,Illumina HiSeq 2000,GSM922193: Morulae #2 -Cell#8,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922193,Morulae #2,SRP011546,human preimplantation embryos
SRR491009,RNA-Seq,100,4479873300,PRJNA153427,SAMN00989163,3088701513,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144388,GSM922194,Illumina HiSeq 2000,GSM922194: Late blastocyst #1 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922194,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491010,RNA-Seq,100,2139294600,PRJNA153427,SAMN00989164,1477969902,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144389,GSM922195,Illumina HiSeq 2000,GSM922195: Late blastocyst #1 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922195,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491011,RNA-Seq,100,3328665400,PRJNA153427,SAMN00989165,2264570243,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144390,GSM922196,Illumina HiSeq 2000,GSM922196: Late blastocyst #1 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922196,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491012,RNA-Seq,100,3669396900,PRJNA153427,SAMN00989166,2534432055,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144391,GSM922197,Illumina HiSeq 2000,GSM922197: Late blastocyst #1 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922197,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491013,RNA-Seq,100,3387755900,PRJNA153427,SAMN00989167,2339135679,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144392,GSM922198,Illumina HiSeq 2000,GSM922198: Late blastocyst #1 -Cell#5,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922198,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491014,RNA-Seq,100,2417769700,PRJNA153427,SAMN00989168,1672925116,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144393,GSM922199,Illumina HiSeq 2000,GSM922199: Late blastocyst #1 -Cell#6,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922199,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491015,RNA-Seq,100,3250076000,PRJNA153427,SAMN00989169,2253247452,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144394,GSM922200,Illumina HiSeq 2000,GSM922200: Late blastocyst #1 -Cell#7,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922200,Late blastocyst #1,SRP011546,human preimplantation embryos
SRR491016,RNA-Seq,100,2825051900,PRJNA153427,SAMN00989170,1952461378,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144395,GSM922201,Illumina HiSeq 2000,GSM922201: Late blastocyst #1 -Cell#8,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922201,Late blastocyst #1,SRP011546,human preimplantation embryos
