Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_count,cell_ID,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Treatment
SRR12859970,OTHER,74,23607628,PRJNA603321,SAMN16507400,9303294,1,VZA01706.B17,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327241,GSM4841713,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841713,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859971,OTHER,74,18937932,PRJNA603321,SAMN16507399,7500042,1,VZA01706.B18,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327242,GSM4841714,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841714,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859972,OTHER,74,13559686,PRJNA603321,SAMN16507395,5613765,1,VZA01706.B19,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327243,GSM4841715,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841715,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859973,OTHER,74,16388336,PRJNA603321,SAMN16507394,6504741,1,VZA01706.B20,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328398,GSM4841716,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841716,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859974,OTHER,74,20010266,PRJNA603321,SAMN16507393,7879530,1,VZA01706.B21,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328399,GSM4841717,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841717,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859975,OTHER,74,25815270,PRJNA603321,SAMN16507285,10192428,1,VZA01706.B22,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328400,GSM4841718,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841718,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859976,OTHER,74,28230630,PRJNA603321,SAMN16507398,11202995,1,VZA01706.B23,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328401,GSM4841719,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841719,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859977,OTHER,74,16868448,PRJNA603321,SAMN16507397,6675339,1,VZA01706.B24,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328402,GSM4841720,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841720,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859978,OTHER,74,21379192,PRJNA603321,SAMN16507396,8419287,1,VZA01706.C01,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328403,GSM4841721,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841721,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859979,OTHER,74,21435506,PRJNA603321,SAMN16507284,8400958,1,VZA01706.C02,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328404,GSM4841722,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841722,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859980,OTHER,74,9948338,PRJNA603321,SAMN16507283,3947006,1,VZA01706.C03,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328405,GSM4841723,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841723,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859981,OTHER,74,28948652,PRJNA603321,SAMN16507282,11247000,1,VZA01706.C04,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328406,GSM4841724,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841724,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859982,OTHER,74,7263692,PRJNA603321,SAMN16507281,2905724,1,VZA01706.C05,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328407,GSM4841725,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841725,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859983,OTHER,74,21964976,PRJNA603321,SAMN16507280,8630160,1,VZA01706.C06,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328408,GSM4841726,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841726,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859984,OTHER,74,21184572,PRJNA603321,SAMN16507279,8342381,1,VZA01706.C07,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328409,GSM4841727,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841727,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859985,OTHER,74,32913054,PRJNA603321,SAMN16507278,12877839,1,VZA01706.C08,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328410,GSM4841728,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841728,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859986,OTHER,74,17883654,PRJNA603321,SAMN16507277,7029831,1,VZA01706.C09,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328411,GSM4841729,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841729,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859987,OTHER,74,35382878,PRJNA603321,SAMN16507276,13823373,1,VZA01706.C10,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328412,GSM4841730,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841730,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859988,OTHER,74,13416940,PRJNA603321,SAMN16507275,5285810,1,VZA01706.C11,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328413,GSM4841731,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841731,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859989,OTHER,74,21139062,PRJNA603321,SAMN16507274,8309332,1,VZA01706.C12,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328414,GSM4841732,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841732,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859990,OTHER,74,17818756,PRJNA603321,SAMN16507308,7029254,1,VZA01706.C13,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328415,GSM4841733,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841733,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859991,OTHER,74,22901298,PRJNA603321,SAMN16507307,8984879,1,VZA01706.C14,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328416,GSM4841734,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841734,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859992,OTHER,74,31796764,PRJNA603321,SAMN16507306,12390054,1,VZA01706.C15,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328417,GSM4841735,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841735,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859993,OTHER,74,20871700,PRJNA603321,SAMN16507305,8225479,1,VZA01706.C16,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328418,GSM4841736,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841736,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859994,OTHER,74,25894820,PRJNA603321,SAMN16507304,10143203,1,VZA01706.C17,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328419,GSM4841737,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841737,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859995,OTHER,74,28160774,PRJNA603321,SAMN16507303,10997282,1,VZA01706.C18,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328420,GSM4841738,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841738,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859996,OTHER,74,16285994,PRJNA603321,SAMN16507302,6699314,1,VZA01706.C19,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9328421,GSM4841739,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841739,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859997,OTHER,74,21536072,PRJNA603321,SAMN16507301,8469228,1,VZA01706.C20,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9329715,GSM4841740,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841740,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859998,OTHER,74,22756258,PRJNA603321,SAMN16507300,8929584,1,VZA01706.C21,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9329716,GSM4841741,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841741,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859999,OTHER,74,45793050,PRJNA603321,SAMN16507299,17903158,1,VZA01706.C22,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9329717,GSM4841742,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841742,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
