Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp)
SRR10509727,RNA-Seq,289,8268066276,PRJNA544466,SAMN13344026,3465624607,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198404,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185187,forebrain neural progenitors,SRP199323,GSM4185187
SRR10509728,RNA-Seq,280,14588171558,PRJNA544466,SAMN13344025,6545732109,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198405,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185188,forebrain neural progenitors,SRP199323,GSM4185188
SRR9114282,RNA-Seq,287,7623582064,PRJNA544466,SAMN11840655,3275542806,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888540,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814123,forebrain neural progenitors,SRP199323,
SRR9114286,RNA-Seq,293,7535538344,PRJNA544466,SAMN11840651,3180393262,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888544,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814127,forebrain neural progenitors,SRP199323,
SRR9114281,RNA-Seq,283,8560534552,PRJNA544466,SAMN11840648,3976487984,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888539,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814122,forebrain neural progenitors,SRP199323,
SRR9114283,RNA-Seq,278,9564221525,PRJNA544466,SAMN11840654,4277376233,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888541,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814124,forebrain neural progenitors,SRP199323,
SRR9114285,RNA-Seq,277,16698994205,PRJNA544466,SAMN11840652,7547529343,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888543,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814126,forebrain neural progenitors,SRP199323,
SRR9114287,RNA-Seq,278,14462271557,PRJNA544466,SAMN11840650,6536632274,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888545,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814128,forebrain neural progenitors,SRP199323,
SRR10509717,RNA-Seq,291,9681196928,PRJNA544466,SAMN13344020,4185704132,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198394,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185177,forebrain neural progenitors,SRP199323,GSM4185177
SRR10509726,RNA-Seq,283,9606418226,PRJNA544466,SAMN13344027,4322509532,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198403,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185186,forebrain neural progenitors,SRP199323,GSM4185186
SRR9114284,RNA-Seq,290,7847522276,PRJNA544466,SAMN11840653,3334696098,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888542,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814125,forebrain neural progenitors,SRP199323,
SRR9114288,RNA-Seq,293,7457291548,PRJNA544466,SAMN11840649,3143476885,H9,ESC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5888546,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM3814129,forebrain neural progenitors,SRP199323,
SRR10509718,RNA-Seq,290,9121928153,PRJNA544466,SAMN13344016,4003199280,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198395,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185178,forebrain neural progenitors,SRP199323,GSM4185178
SRR10509729,RNA-Seq,290,7085644686,PRJNA544466,SAMN13344024,3057033380,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198406,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185189,forebrain neural progenitors,SRP199323,GSM4185189
